day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-12;C.C.3;30.92;94.12;14.03;89.92;16.89;4.2
2020-05-17;B.B.2;25.42;18.43;32.46;50.98;-7.04;-32.55
2020-06-07;D.C.S;26.02;68.63;15.77;46.06;10.25;22.57
2020-07-20;A.C.3;31.34;34.28;35.1;23.66;-3.76;10.62
2020-07-26;C.D.S;25.96;50.2;37.49;38.76;-11.53;11.44
2020-07-29;B.B.3;14.45;30.88;30.94;9.69;-16.49;21.19
2020-08-03;D.B.S;19.82;53.04;21.78;55.7;-1.96;-2.66
2020-10-15;A.E.0;12.58;31.98;36.4;78.17;-23.82;-46.19
2020-10-15;A.E.S;21.19;1.99;25.09;27.28;-3.9;-25.29
2020-10-15;D.D.3;10.26;21.46;29.96;2.62;-19.7;18.84
2020-11-11;B.D.S;36.95;16.56;20.45;29.76;16.5;-13.2
2020-12-05;C.C.3;30.45;17.48;33.67;17.14;-3.22;0.34
2020-12-10;B.E.S;27.88;42.06;24.88;57.01;3.0;-14.95
2020-12-22;E.D.1;28.41;73.77;13.59;6.71;14.82;67.06
2020-12-23;A.D.3;36.4;92.09;16.45;30.04;19.95;62.05
2020-12-27;B.B.2;25.27;37.4;31.41;98.17;-6.14;-60.77
2021-01-12;B.C.1;16.3;90.54;30.99;87.7;-14.69;2.84
2021-01-16;A.B.S;27.57;14.56;28.38;52.89;-0.81;-38.33
2021-02-14;A.E.3;20.22;90.46;31.12;83.16;-10.9;7.3
2021-03-02;B.D.3;19.23;87.24;28.5;40.59;-9.27;46.65
2021-03-14;B.A.0;14.67;36.35;33.78;27.97;-19.11;8.38
2021-03-28;D.E.3;29.14;11.57;25.02;67.18;4.12;-55.61
2021-03-28;E.B.3;20.52;28.45;19.06;51.38;1.46;-22.93
2021-03-31;B.D.2;14.67;66.36;26.26;3.53;-11.59;62.83
2021-04-05;C.A.S;30.04;52.4;23.15;48.27;6.89;4.13
2021-04-06;B.B.2;10.76;39.44;17.38;66.63;-6.62;-27.19
2021-04-22;C.B.2;17.68;72.46;17.97;16.6;-0.29;55.86
2021-04-28;E.A.0;20.61;9.01;29.57;28.85;-8.96;-19.84
2021-05-22;A.A.2;30.53;98.99;11.79;97.72;18.74;1.27
2021-06-01;A.A.3;19.25;18.86;17.89;43.88;1.36;-25.02
2021-06-14;A.A.3;31.41;8.81;19.82;87.93;11.59;-79.12
2021-06-22;E.A.3;11.53;32.06;21.75;39.36;-10.22;-7.3
2021-06-23;E.B.2;20.53;45.92;35.64;41.88;-15.11;4.04
2021-06-28;D.C.0;28.77;56.4;33.53;34.29;-4.76;22.11
2021-07-03;B.E.0;21.09;43.68;15.51;58.01;5.58;-14.33
2021-07-16;E.C.0;32.08;11.97;16.57;64.26;15.51;-52.29
2021-07-17;E.A.S;27.56;8.93;33.57;8.59;-6.01;0.34
2021-07-20;E.C.2;11.91;75.96;30.88;53.39;-18.97;22.57
2021-08-22;A.C.0;32.7;26.9;25.74;31.77;6.96;-4.87
2021-09-04;C.C.2;18.98;70.18;24.29;60.63;-5.31;9.55
2021-09-24;D.B.0;30.83;24.42;24.45;93.89;6.38;-69.47
2021-10-09;A.B.2;21.18;10.54;33.35;57.71;-12.17;-47.17
2021-10-25;B.C.1;33.25;71.8;19.89;73.5;13.36;-1.7
2021-11-29;B.D.0;19.21;82.07;31.55;41.42;-12.34;40.65
2021-11-30;D.D.2;30.75;76.08;23.86;88.5;6.89;-12.42
2021-12-12;A.C.1;27.52;31.78;35.14;90.52;-7.62;-58.74
2021-12-23;E.E.3;18.42;42.0;28.42;96.95;-10.0;-54.95
2022-01-31;B.D.2;13.74;57.11;14.89;66.73;-1.15;-9.62
2022-02-02;D.C.3;21.27;50.63;35.03;32.76;-13.76;17.87
2022-02-13;A.E.1;35.3;72.98;13.01;20.79;22.29;52.19
2022-03-26;D.E.1;30.5;51.44;25.3;15.0;5.2;36.44
2022-04-21;B.D.3;30.37;43.1;11.57;46.98;18.8;-3.88
2022-05-03;D.E.2;35.96;44.2;32.12;98.36;3.84;-54.16
2022-05-12;B.E.1;20.34;44.43;23.36;23.14;-3.02;21.29
2022-05-31;D.B.0;37.01;19.08;18.1;66.12;18.91;-47.04
2022-06-05;A.B.S;26.45;11.92;19.18;38.23;7.27;-26.31
2022-07-12;B.E.3;10.35;71.01;28.53;98.27;-18.18;-27.26
2022-07-13;C.E.2;20.82;35.9;26.42;58.87;-5.6;-22.97
2022-08-15;D.C.2;10.67;92.49;36.06;9.91;-25.39;82.58
2020-08-15;A.A.2;34.99;60.49;24.32;65.7;10.67;-5.21
2020-09-05;C.A.1;28.89;72.89;16.09;96.8;12.8;-23.91
2020-12-12;D.B.0;22.97;73.49;20.28;65.2;2.69;8.29
2021-06-05;A.C.2;34.4;97.27;26.06;11.84;8.34;85.43
2021-12-21;A.A.0;22.42;47.33;15.19;7.55;7.23;39.78
2022-01-10;B.D.2;12.43;41.44;22.88;35.22;-10.45;6.22
2022-03-22;D.B.1;16.77;91.08;33.96;40.83;-17.19;50.25
2022-04-17;A.A.0;18.91;19.52;16.16;26.11;2.75;-6.59
