day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-18;C.B.1;37.29;3.18;21.49;53.8;15.8;-50.62
2020-05-25;C.B.3;33.99;41.27;35.61;80.0;-1.62;-38.73
2020-06-02;C.A.3;21.14;2.88;32.53;8.19;-11.39;-5.31
2020-06-19;C.B.0;33.54;72.04;21.89;50.23;11.65;21.81
2020-06-26;D.D.1;12.26;49.59;25.62;98.05;-13.36;-48.46
2020-07-05;C.A.3;15.82;47.48;12.75;59.39;3.07;-11.91
2020-07-09;E.B.S;30.57;54.06;13.14;74.32;17.43;-20.26
2020-07-16;C.C.S;28.86;37.75;35.76;16.37;-6.9;21.38
2020-07-26;E.C.2;14.28;95.0;23.87;88.87;-9.59;6.13
2020-08-11;E.E.2;30.13;36.18;17.35;66.72;12.78;-30.54
2020-08-29;D.D.1;30.2;12.11;20.93;38.15;9.27;-26.04
2020-10-09;E.C.2;22.73;55.03;22.14;45.34;0.59;9.69
2020-10-11;B.E.0;29.69;31.67;31.12;96.42;-1.43;-64.75
2020-10-14;E.A.3;14.49;54.49;19.71;43.74;-5.22;10.75
2020-10-31;B.E.3;31.35;9.4;19.87;23.19;11.48;-13.79
2020-11-16;D.A.S;21.11;90.41;26.02;45.79;-4.91;44.62
2020-12-06;E.D.0;23.35;81.04;29.26;52.01;-5.91;29.03
2020-12-27;C.B.2;24.91;27.75;31.47;88.1;-6.56;-60.35
2021-01-09;C.A.0;32.72;98.92;30.2;43.58;2.52;55.34
2021-01-28;D.A.2;21.49;20.03;25.55;7.28;-4.06;12.75
2021-01-28;B.C.1;18.68;69.73;32.57;33.94;-13.89;35.79
2021-02-05;A.B.0;29.9;72.3;30.65;48.73;-0.75;23.57
2021-02-21;B.B.2;18.8;66.81;18.77;26.78;0.03;40.03
2021-03-30;E.B.S;19.93;41.1;18.76;42.11;1.17;-1.01
2021-05-18;E.D.2;23.0;27.57;34.53;33.85;-11.53;-6.28
2021-05-20;E.B.S;30.73;96.5;36.91;8.56;-6.18;87.94
2021-05-22;E.E.S;32.79;96.77;14.83;11.61;17.96;85.16
2021-06-04;D.A.2;16.91;64.93;27.45;95.47;-10.54;-30.54
2021-07-05;E.A.0;20.85;74.53;23.82;68.97;-2.97;5.56
2021-07-08;C.B.1;13.97;2.57;16.72;15.02;-2.75;-12.45
2021-07-17;A.C.1;14.85;29.6;26.26;27.7;-11.41;1.9
2021-08-14;B.A.S;30.39;82.53;33.85;8.88;-3.46;73.65
2021-08-23;E.B.1;20.59;56.99;34.25;6.96;-13.66;50.03
2021-09-29;D.D.3;31.21;47.41;19.38;66.35;11.83;-18.94
2021-10-17;E.B.1;36.16;5.72;25.87;55.48;10.29;-49.76
2021-10-30;C.E.1;31.16;59.42;24.62;58.04;6.54;1.38
2021-11-06;D.E.1;30.91;35.79;35.25;1.04;-4.34;34.75
2021-11-09;E.E.3;20.0;0.55;19.53;30.23;0.47;-29.68
2021-11-26;A.B.1;35.1;89.1;34.92;77.15;0.18;11.95
2021-12-10;A.B.1;34.17;21.14;22.25;39.4;11.92;-18.26
2021-12-17;B.E.1;32.5;23.69;19.91;19.78;12.59;3.91
2021-12-20;D.E.S;33.01;66.09;23.05;87.53;9.96;-21.44
2022-01-13;D.D.2;32.29;37.5;17.17;60.43;15.12;-22.93
2022-01-24;D.E.S;15.64;33.87;19.22;81.39;-3.58;-47.52
2022-01-30;E.B.3;24.57;42.31;24.04;25.29;0.53;17.02
2022-02-05;A.E.2;30.8;34.69;22.19;69.44;8.61;-34.75
2022-02-13;E.E.3;28.52;73.24;26.34;24.87;2.18;48.37
2022-03-18;E.A.0;27.64;62.18;29.43;57.64;-1.79;4.54
2022-04-03;E.A.1;24.1;48.8;27.05;52.0;-2.95;-3.2
2022-05-16;C.B.1;30.65;45.61;20.92;15.42;9.73;30.19
2022-05-22;E.B.S;27.72;43.56;19.16;18.37;8.56;25.19
2022-06-09;A.A.1;16.76;31.23;31.76;21.86;-15.0;9.37
2022-06-20;D.A.S;36.68;18.74;36.07;65.9;0.61;-47.16
2022-07-30;C.D.1;35.5;16.96;29.91;74.9;5.59;-57.94
2022-08-19;C.A.1;19.6;24.41;12.61;69.02;6.99;-44.61
2022-08-29;D.C.2;12.9;67.67;34.16;46.17;-21.26;21.5
2020-12-29;D.A.2;31.63;95.36;34.66;5.48;-3.03;89.88
2021-01-23;A.A.2;31.53;75.91;20.15;35.4;11.38;40.51
2021-02-17;B.C.0;24.08;79.01;36.98;31.99;-12.9;47.02
2021-02-24;D.B.3;35.25;18.11;15.61;62.96;19.64;-44.85
2021-04-07;B.B.2;15.48;2.63;26.36;10.11;-10.88;-7.48
2021-05-10;B.C.0;33.89;24.54;11.12;17.04;22.77;7.5
2021-05-22;C.A.2;14.23;31.06;18.52;76.04;-4.29;-44.98
2021-06-01;D.B.3;14.03;43.47;28.89;63.72;-14.86;-20.25
2021-08-19;D.E.S;19.72;96.64;23.52;79.96;-3.8;16.68
2022-02-05;D.D.1;26.87;3.49;30.33;66.36;-3.46;-62.87
2022-02-06;D.B.0;36.09;29.99;10.67;45.75;25.42;-15.76
2022-06-01;D.A.0;26.32;28.78;27.15;92.64;-0.83;-63.86
2022-06-23;D.A.3;34.59;79.89;18.97;45.21;15.62;34.68
2022-07-04;D.A.1;25.93;98.4;28.46;92.11;-2.53;6.29
