day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-11;C.B.S;15.01;95.78;30.51;61.14;-15.5;34.64
2020-04-16;E.E.2;19.33;85.71;33.17;55.3;-13.84;30.41
2020-05-21;E.A.S;12.39;18.79;36.37;3.09;-23.98;15.7
2020-06-22;E.D.2;17.52;6.71;35.0;75.27;-17.48;-68.56
2020-06-30;B.C.0;31.96;12.6;24.19;95.19;7.77;-82.59
2020-07-01;B.C.2;14.99;46.55;21.16;56.61;-6.17;-10.06
2020-07-04;A.D.0;23.48;82.5;32.69;37.93;-9.21;44.57
2020-07-09;D.E.3;22.76;46.95;17.39;23.19;5.37;23.76
2020-07-16;C.E.1;10.15;75.3;22.75;78.34;-12.6;-3.04
2020-08-15;C.A.3;22.38;49.92;31.94;67.67;-9.56;-17.75
2020-08-20;D.D.S;32.95;14.87;14.83;77.7;18.12;-62.83
2020-09-14;A.E.3;21.49;65.06;30.18;76.53;-8.69;-11.47
2020-09-15;C.A.0;13.7;63.98;26.22;44.13;-12.52;19.85
2020-09-25;D.A.3;27.52;0.24;16.16;50.04;11.36;-49.8
2020-10-01;B.E.0;16.57;73.25;33.66;31.03;-17.09;42.22
2020-10-04;C.C.3;29.25;26.69;21.25;33.64;8.0;-6.95
2020-10-19;B.A.2;18.73;11.59;23.99;51.55;-5.26;-39.96
2020-10-20;A.E.1;19.0;93.88;36.92;35.01;-17.92;58.87
2020-10-22;C.D.3;24.96;75.03;29.17;76.75;-4.21;-1.72
2020-11-18;D.B.2;34.7;47.87;34.89;77.57;-0.19;-29.7
2020-11-21;C.E.3;33.95;7.44;33.59;43.19;0.36;-35.75
2021-01-13;B.D.1;18.91;98.02;25.59;53.7;-6.68;44.32
2021-02-16;E.E.S;10.35;73.35;24.64;69.92;-14.29;3.43
2021-02-22;A.C.0;26.52;64.28;34.62;5.94;-8.1;58.34
2021-03-13;B.E.2;34.69;88.28;12.14;94.22;22.55;-5.94
2021-03-20;A.E.1;28.91;74.22;13.39;66.79;15.52;7.43
2021-03-23;D.C.3;20.67;40.34;33.78;8.48;-13.11;31.86
2021-03-29;B.B.2;16.46;11.92;16.85;47.34;-0.39;-35.42
2021-04-19;A.E.S;15.13;0.09;25.87;43.48;-10.74;-43.39
2021-05-04;E.E.S;24.65;95.66;12.29;84.38;12.36;11.28
2021-05-29;E.E.3;19.9;18.8;19.68;52.97;0.22;-34.17
2021-07-07;E.A.1;28.32;18.27;26.94;65.85;1.38;-47.58
2021-08-01;D.A.S;34.7;97.57;21.57;64.07;13.13;33.5
2021-08-05;C.C.2;33.44;17.79;26.26;24.56;7.18;-6.77
2021-08-14;D.C.S;19.02;48.5;10.9;97.55;8.12;-49.05
2021-08-23;B.D.S;32.74;1.08;11.77;55.85;20.97;-54.77
2021-08-25;E.B.2;30.33;66.36;11.66;66.27;18.67;0.09
2021-09-06;B.A.0;19.56;80.29;19.41;60.07;0.15;20.22
2021-10-02;A.C.0;25.89;54.44;15.39;76.5;10.5;-22.06
2021-10-27;B.B.1;26.91;66.04;24.38;11.63;2.53;54.41
2021-10-31;D.B.1;17.22;57.14;11.51;50.83;5.71;6.31
2021-12-01;C.D.2;17.72;81.61;27.93;98.23;-10.21;-16.62
2021-12-25;D.E.3;23.03;77.75;19.53;44.29;3.5;33.46
2022-01-08;A.D.0;25.85;48.61;11.8;8.59;14.05;40.02
2022-01-17;B.D.1;21.89;61.7;21.62;61.19;0.27;0.51
2022-05-08;D.C.2;18.72;38.95;36.44;74.13;-17.72;-35.18
2022-05-12;A.E.3;33.72;40.87;14.37;59.98;19.35;-19.11
2022-05-24;E.D.1;31.81;13.34;21.44;52.49;10.37;-39.15
2022-06-06;B.A.2;18.99;21.49;30.85;55.33;-11.86;-33.84
2022-06-08;E.C.1;32.95;56.81;15.99;32.18;16.96;24.63
2022-06-23;B.C.0;21.24;70.65;19.25;55.49;1.99;15.16
2022-06-29;B.C.0;35.49;21.92;23.73;96.8;11.76;-74.88
2020-12-16;E.B.0;17.81;41.7;25.46;68.19;-7.65;-26.49
2021-01-30;E.A.2;35.66;60.79;26.91;11.71;8.75;49.08
2021-02-12;E.A.1;17.96;1.93;33.22;32.06;-15.26;-30.13
2021-05-11;E.A.1;28.37;46.03;33.57;65.77;-5.2;-19.74
2021-07-24;A.A.S;34.68;16.51;13.7;98.5;20.98;-81.99
2021-12-19;C.D.S;21.72;9.47;21.36;66.34;0.36;-56.87
2022-03-25;A.B.1;20.76;6.07;33.01;95.8;-12.25;-89.73
2022-07-05;D.A.3;31.64;47.02;23.23;99.9;8.41;-52.88
2022-08-03;E.A.2;13.37;62.69;19.03;93.97;-5.66;-31.28
2022-08-30;E.A.S;18.77;81.8;26.91;8.06;-8.14;73.74
