day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-04;D.C.3;25.3;64.79;17.53;26.34;7.77;38.45
2020-04-14;A.C.1;24.89;11.56;28.42;53.14;-3.53;-41.58
2020-04-19;A.B.2;29.39;84.7;21.32;80.06;8.07;4.64
2020-06-08;E.D.1;31.6;11.67;31.12;32.76;0.48;-21.09
2020-06-13;D.A.0;10.87;24.98;30.59;62.7;-19.72;-37.72
2020-06-14;C.B.3;22.53;8.97;11.83;92.9;10.7;-83.93
2020-06-22;C.E.2;14.45;48.9;20.23;49.01;-5.78;-0.11
2020-07-10;B.B.3;32.84;33.98;15.03;70.65;17.81;-36.67
2020-07-13;E.E.1;28.71;86.85;14.22;33.71;14.49;53.14
2020-07-17;A.C.1;35.67;5.74;20.54;36.68;15.13;-30.94
2020-08-18;E.C.3;18.65;78.22;10.1;87.48;8.55;-9.26
2020-08-30;C.C.3;21.04;46.56;13.71;55.57;7.33;-9.01
2020-09-09;A.D.S;37.42;17.91;24.91;40.52;12.51;-22.61
2020-09-30;E.C.S;37.09;24.95;10.4;0.6;26.69;24.35
2020-10-19;E.A.1;18.41;50.93;24.99;61.16;-6.58;-10.23
2020-10-24;D.A.2;11.95;3.94;21.7;54.23;-9.75;-50.29
2020-10-31;E.B.1;30.64;38.34;30.43;17.93;0.21;20.41
2020-11-05;B.B.0;21.59;45.03;23.85;26.35;-2.26;18.68
2020-11-17;B.A.1;16.63;22.3;29.08;45.73;-12.45;-23.43
2020-12-05;D.E.3;10.97;24.12;19.31;75.36;-8.34;-51.24
2020-12-22;E.A.S;24.89;30.42;32.51;54.56;-7.62;-24.14
2021-01-07;B.E.1;21.44;35.33;15.14;11.85;6.3;23.48
2021-01-31;E.E.1;29.84;80.95;11.17;70.64;18.67;10.31
2021-02-03;B.A.1;30.53;7.83;16.22;67.67;14.31;-59.84
2021-02-08;E.C.S;15.62;1.32;26.71;21.64;-11.09;-20.32
2021-02-28;D.E.3;37.14;70.71;18.58;69.42;18.56;1.29
2021-03-15;A.C.S;19.55;38.17;14.58;21.52;4.97;16.65
2021-03-30;A.D.2;27.79;70.85;14.88;0.38;12.91;70.47
2021-04-03;B.A.2;34.13;67.41;20.28;87.03;13.85;-19.62
2021-04-19;C.E.1;13.72;46.37;18.15;19.33;-4.43;27.04
2021-04-21;E.E.2;25.39;36.6;13.73;49.39;11.66;-12.79
2021-04-25;E.B.S;26.9;72.9;27.22;70.3;-0.32;2.6
2021-05-03;E.E.2;13.2;30.52;25.92;66.53;-12.72;-36.01
2021-05-07;A.A.2;22.52;33.4;14.19;12.57;8.33;20.83
2021-05-17;C.B.1;31.63;18.55;31.66;72.53;-0.03;-53.98
2021-05-20;E.C.S;27.74;22.16;32.15;71.19;-4.41;-49.03
2021-05-21;E.C.2;28.84;85.76;33.19;16.4;-4.35;69.36
2021-06-18;D.C.2;36.04;5.58;30.59;48.14;5.45;-42.56
2021-06-25;A.C.3;15.19;49.88;26.62;71.7;-11.43;-21.82
2021-06-26;A.D.0;34.74;21.03;15.24;9.87;19.5;11.16
2021-07-11;D.B.0;18.15;94.94;29.9;68.5;-11.75;26.44
2021-08-17;A.B.1;14.29;84.37;26.02;70.73;-11.73;13.64
2021-08-27;D.A.1;19.36;37.27;28.33;64.55;-8.97;-27.28
2021-09-25;B.D.S;24.01;7.57;35.95;37.83;-11.94;-30.26
2021-10-25;A.B.3;20.13;88.95;33.52;4.42;-13.39;84.53
2021-11-03;D.B.S;35.78;36.8;14.63;93.0;21.15;-56.2
2021-11-24;E.D.0;26.66;89.98;11.87;83.13;14.79;6.85
2022-02-28;B.D.2;24.8;41.34;23.46;14.07;1.34;27.27
2022-03-22;B.B.0;29.56;69.09;33.39;16.07;-3.83;53.02
2022-03-23;B.B.2;20.13;77.63;22.19;49.48;-2.06;28.15
2022-03-27;D.E.2;28.36;79.36;17.69;99.98;10.67;-20.62
2022-03-31;B.E.S;12.28;51.85;24.97;60.43;-12.69;-8.58
2022-04-04;C.B.0;28.88;38.59;22.15;12.34;6.73;26.25
2022-04-10;C.E.3;22.24;9.85;10.43;42.13;11.81;-32.28
2022-06-20;E.E.0;17.09;52.38;11.16;72.95;5.93;-20.57
2022-06-30;D.B.S;15.64;71.33;33.91;60.94;-18.27;10.39
2022-08-26;D.C.1;27.01;80.68;28.02;77.73;-1.01;2.95
2020-09-29;A.C.S;11.02;21.23;25.56;75.28;-14.54;-54.05
2021-01-04;A.A.3;36.08;99.17;17.88;53.33;18.2;45.84
2021-01-11;A.A.0;28.24;54.32;21.15;55.88;7.09;-1.56
2021-04-24;C.B.1;33.85;89.22;17.24;83.3;16.61;5.92
2021-08-15;E.D.1;36.13;0.31;19.31;55.17;16.82;-54.86
2022-01-10;A.A.1;33.8;91.9;27.48;59.81;6.32;32.09
