day;fullFloorLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-18;B.A.2;14.25;16.4;28.51;94.45;-14.26;-78.05
2020-04-30;C.D.3;20.73;80.53;30.9;6.36;-10.17;74.17
2020-05-09;C.B.2;15.35;10.73;32.43;70.59;-17.08;-59.86
2020-05-12;D.D.1;19.83;6.24;33.67;81.41;-13.84;-75.17
2020-05-13;D.C.3;35.67;89.11;29.5;19.14;6.17;69.97
2020-05-14;C.E.1;17.89;77.85;19.19;11.37;-1.3;66.48
2020-05-18;B.A.S;24.95;95.4;15.0;12.67;9.95;82.73
2020-05-27;E.D.0;22.3;66.07;17.7;34.83;4.6;31.24
2020-06-12;E.A.2;17.83;26.08;31.43;0.43;-13.6;25.65
2020-06-16;C.C.0;31.18;85.76;27.32;81.54;3.86;4.22
2020-06-16;A.C.3;21.07;65.08;28.53;18.73;-7.46;46.35
2020-06-19;C.C.0;19.34;85.43;33.69;25.57;-14.35;59.86
2020-07-01;E.A.3;32.07;13.21;26.71;89.73;5.36;-76.52
2020-07-28;A.B.S;26.0;83.46;24.05;78.14;1.95;5.32
2020-08-09;A.B.1;27.53;9.53;17.56;61.65;9.97;-52.12
2020-08-22;C.B.2;23.23;68.45;21.44;48.8;1.79;19.65
2020-08-24;E.B.S;20.18;64.94;32.66;67.59;-12.48;-2.65
2020-09-07;B.A.3;26.94;17.0;11.51;55.96;15.43;-38.96
2020-09-25;D.C.1;24.44;37.12;31.09;12.44;-6.65;24.68
2020-10-11;C.D.2;25.97;31.61;22.71;87.21;3.26;-55.6
2020-10-16;E.E.0;27.04;53.75;28.7;37.18;-1.66;16.57
2020-10-18;C.E.0;35.82;87.06;36.44;32.78;-0.62;54.28
2020-11-01;B.C.3;31.93;46.09;22.59;54.33;9.34;-8.24
2020-11-17;E.C.3;20.51;36.79;19.68;58.79;0.83;-22.0
2020-11-19;A.A.0;29.36;69.68;33.45;72.46;-4.09;-2.78
2020-12-14;E.C.2;22.22;23.23;31.29;88.63;-9.07;-65.4
2021-01-05;E.A.3;14.94;62.21;17.46;34.7;-2.52;27.51
2021-01-21;B.D.2;24.57;33.02;15.15;86.05;9.42;-53.03
2021-02-01;A.B.0;13.69;73.64;27.35;62.73;-13.66;10.91
2021-02-03;C.C.S;30.65;66.82;27.89;68.26;2.76;-1.44
2021-02-21;E.E.3;32.52;26.81;33.94;11.05;-1.42;15.76
2021-03-07;B.A.S;31.77;38.77;35.15;90.23;-3.38;-51.46
2021-03-13;E.C.2;26.49;78.08;24.69;40.84;1.8;37.24
2021-03-26;D.B.3;10.87;40.25;26.15;49.07;-15.28;-8.82
2021-04-15;A.D.S;17.44;17.33;21.58;79.72;-4.14;-62.39
2021-04-16;D.E.3;35.21;65.63;35.33;31.08;-0.12;34.55
2021-05-15;C.C.1;31.91;58.68;24.15;56.25;7.76;2.43
2021-06-09;D.A.3;11.89;85.17;35.39;61.69;-23.5;23.48
2021-06-17;B.C.S;31.33;79.67;29.61;32.07;1.72;47.6
2021-06-26;D.C.2;18.9;52.15;20.74;67.11;-1.84;-14.96
2021-07-09;D.A.1;25.14;7.91;22.04;49.34;3.1;-41.43
2021-07-18;A.C.2;19.21;30.59;13.38;77.57;5.83;-46.98
2021-07-29;C.B.0;24.82;11.12;13.02;27.36;11.8;-16.24
2021-07-31;E.E.S;21.78;79.97;16.51;12.84;5.27;67.13
2021-09-13;E.E.0;26.8;56.13;31.45;69.88;-4.65;-13.75
2021-10-18;C.C.3;28.65;24.31;32.82;58.45;-4.17;-34.14
2021-12-04;B.C.0;30.08;38.78;11.47;72.69;18.61;-33.91
2021-12-30;E.B.3;27.97;78.52;18.5;79.46;9.47;-0.94
2022-01-03;D.B.0;25.06;65.77;37.41;52.11;-12.35;13.66
2022-01-15;D.B.2;21.99;2.16;17.27;64.94;4.72;-62.78
2022-01-21;B.E.3;19.94;76.26;36.74;15.85;-16.8;60.41
2022-01-21;E.E.3;29.06;5.71;30.2;10.04;-1.14;-4.33
2022-01-24;B.B.S;26.9;76.71;26.87;24.95;0.03;51.76
2022-01-30;C.A.1;30.06;39.75;23.6;45.66;6.46;-5.91
2022-02-23;C.C.0;11.9;50.65;36.94;93.7;-25.04;-43.05
2022-04-17;B.D.S;34.27;27.83;15.93;66.79;18.34;-38.96
2022-05-12;E.E.3;34.1;21.03;33.0;70.4;1.1;-49.37
2022-05-14;D.A.3;34.73;53.91;21.7;96.02;13.03;-42.11
2022-05-16;D.C.S;30.66;45.65;16.85;78.8;13.81;-33.15
2022-06-08;D.E.2;18.03;83.57;14.3;24.05;3.73;59.52
2022-06-16;D.D.S;23.42;25.34;12.6;85.74;10.82;-60.4
2022-07-07;C.E.2;15.81;59.6;23.8;22.69;-7.99;36.91
2022-07-27;B.E.2;26.76;23.73;24.45;89.04;2.31;-65.31
2022-08-25;A.C.3;22.78;57.32;37.28;92.78;-14.5;-35.46
2021-08-03;D.A.2;14.69;75.1;32.21;59.29;-17.52;15.81
2021-12-04;D.B.2;17.57;10.63;21.1;22.0;-3.53;-11.37
2022-07-07;D.D.3;14.4;21.91;19.01;13.05;-4.61;8.86
2022-07-12;A.B.3;33.28;23.85;26.86;38.91;6.42;-15.06
