day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-07-09;E.E.2.B;17.61;11.85;14.12;35.93;3.49;-24.08
2020-08-27;E.D.1.A;26.65;98.32;13.97;56.22;12.68;42.1
2020-09-15;C.A.0.A;13.7;63.98;26.22;44.13;-12.52;19.85
2020-11-18;A.C.3.B;30.18;88.6;13.42;36.16;16.76;52.44
2020-11-30;C.C.1.C;30.69;82.54;25.39;22.06;5.3;60.48
2021-04-04;D.B.0.B;19.88;34.62;20.32;50.13;-0.44;-15.51
2021-06-20;A.A.0.C;29.52;81.93;24.19;59.02;5.33;22.91
2021-07-13;E.E.0.E;29.65;92.47;16.05;25.74;13.6;66.73
2021-10-10;B.A.3.D;21.57;33.97;22.37;46.88;-0.8;-12.91
2021-10-11;A.D.2.D;31.0;79.74;26.04;23.82;4.96;55.92
2021-11-23;A.A.3.E;16.12;80.05;18.69;78.26;-2.57;1.79
2022-04-05;C.C.1.E;29.96;75.0;29.47;48.52;0.49;26.48
2022-06-19;A.E.1.E;21.57;96.19;22.57;67.21;-1.0;28.98
