day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-06-01;B.C.3.C;22.93;13.09;34.65;58.97;-11.72;-45.88
2020-08-05;D.E.1.B;17.79;12.37;31.3;50.82;-13.51;-38.45
2020-08-10;A.C.2.B;21.8;66.42;15.82;26.03;5.98;40.39
2020-11-07;B.C.0.E;13.3;25.64;24.59;46.06;-11.29;-20.42
2020-11-11;A.C.2.B;10.91;47.95;24.78;66.32;-13.87;-18.37
2020-11-22;D.D.3.A;27.58;60.29;30.33;15.79;-2.75;44.5
2020-11-25;A.E.1.C;19.62;99.55;11.7;79.86;7.92;19.69
2021-01-04;E.D.1.C;34.21;46.43;27.11;66.84;7.1;-20.41
2021-01-15;C.C.0.C;22.13;79.96;24.66;86.51;-2.53;-6.55
2021-02-01;E.C.0.C;26.63;27.41;37.01;32.57;-10.38;-5.16
2021-03-17;D.D.1.C;14.14;91.95;24.18;88.92;-10.04;3.03
2021-06-12;A.E.0.A;30.62;28.55;35.39;16.73;-4.77;11.82
2021-07-11;E.C.2.D;20.81;84.88;24.33;60.5;-3.52;24.38
2021-11-16;B.E.1.E;37.05;82.71;21.61;64.62;15.44;18.09
2022-03-14;C.C.3.B;13.88;73.64;34.22;18.19;-20.34;55.45
2022-04-24;C.A.S.D;35.98;94.95;10.36;75.19;25.62;19.76
2022-07-26;C.D.S.C;29.04;53.76;19.11;69.08;9.93;-15.32
