day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-03;C.A.2.E;25.55;5.23;36.81;27.41;-11.26;-22.18
2020-05-04;C.D.2.E;17.66;43.21;35.95;80.96;-18.29;-37.75
2020-05-25;B.E.2.A;34.49;67.57;34.48;50.43;0.01;17.14
2020-06-07;A.B.S.B;19.82;43.58;36.91;26.06;-17.09;17.52
2020-06-15;A.B.3.A;19.62;75.99;19.27;43.88;0.35;32.11
2020-07-08;A.E.2.C;11.31;87.02;17.22;2.68;-5.91;84.34
2020-08-27;E.B.1.A;26.33;99.11;31.25;25.21;-4.92;73.9
2020-09-05;C.E.2.A;14.82;30.0;29.37;86.74;-14.55;-56.74
2020-11-15;E.C.0.E;32.62;55.19;18.74;30.72;13.88;24.47
2020-12-16;B.D.0.C;21.52;17.62;27.25;80.03;-5.73;-62.41
2021-02-05;A.B.0.A;29.9;72.3;33.48;22.8;-3.58;49.5
2021-06-03;A.D.3.D;28.71;95.87;24.78;37.47;3.93;58.4
2021-07-14;E.D.2.A;35.04;35.93;16.51;35.31;18.53;0.62
2021-08-24;B.A.2.C;31.86;4.58;16.35;36.57;15.51;-31.99
2021-09-01;B.E.2.D;16.38;12.71;18.7;86.0;-2.32;-73.29
2021-12-04;B.A.0.B;30.61;96.03;23.12;4.8;7.49;91.23
2022-05-28;A.C.2.C;36.91;85.54;31.0;28.87;5.91;56.67
2022-08-05;B.D.3.A;31.85;88.88;23.63;24.77;8.22;64.11
2021-12-07;C.B.S.A;27.85;98.59;27.06;66.49;0.79;32.1
