day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-07-11;E.E.3.A;16.24;55.59;11.91;1.25;4.33;54.34
2020-08-10;A.B.S.A;31.71;50.64;14.95;69.11;16.76;-18.47
2020-11-22;E.C.0.A;12.25;26.03;37.17;92.79;-24.92;-66.76
2021-02-16;C.A.S.B;25.59;55.97;23.18;99.53;2.41;-43.56
2021-03-05;B.A.0.A;37.45;60.49;23.19;85.54;14.26;-25.05
2021-05-08;C.B.0.D;14.36;54.3;18.4;66.81;-4.04;-12.51
2021-08-03;D.A.1.E;28.19;99.19;34.41;86.3;-6.22;12.89
2021-08-08;C.D.3.E;35.05;19.78;34.99;46.83;0.06;-27.05
2021-09-20;B.B.3.B;15.71;86.78;17.56;13.53;-1.85;73.25
2021-10-01;B.D.0.C;29.6;57.84;25.11;22.18;4.49;35.66
2021-10-19;A.D.S.C;34.53;30.69;13.9;44.4;20.63;-13.71
2021-10-24;A.E.S.D;16.62;58.38;31.7;52.49;-15.08;5.89
2021-10-29;C.A.3.C;16.36;93.63;36.07;41.87;-19.71;51.76
2022-02-04;A.A.S.D;17.63;28.52;13.51;84.75;4.12;-56.23
2022-03-10;B.A.3.C;25.98;60.77;23.4;82.08;2.58;-21.31
2022-06-07;E.D.2.C;25.07;4.37;18.49;82.14;6.58;-77.77
2022-06-18;B.C.1.A;22.38;13.25;35.77;9.67;-13.39;3.58
2022-07-21;B.B.0.E;35.78;36.39;34.35;31.59;1.43;4.8
2022-08-03;C.D.S.C;29.53;69.45;18.11;72.09;11.42;-2.64
2022-08-18;B.C.2.E;15.72;13.36;34.92;61.72;-19.2;-48.36
