day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-21;B.B.1.A;15.25;39.57;19.11;93.17;-3.86;-53.6
2020-05-20;B.C.3.E;28.37;82.99;12.69;87.19;15.68;-4.2
2020-05-23;C.D.1.B;37.31;30.75;11.17;10.12;26.14;20.63
2020-07-10;A.D.0.C;35.21;63.64;19.41;90.11;15.8;-26.47
2020-07-19;D.D.1.C;13.2;32.42;32.56;61.51;-19.36;-29.09
2020-09-25;E.C.2.C;32.9;26.1;15.51;83.48;17.39;-57.38
2020-10-05;E.E.3.D;27.14;66.39;16.93;65.42;10.21;0.97
2021-03-17;E.D.S.E;14.05;7.67;31.76;52.99;-17.71;-45.32
2021-06-16;A.E.1.E;20.16;67.08;22.45;61.54;-2.29;5.54
2021-06-21;E.E.S.E;29.49;23.3;33.34;33.04;-3.85;-9.74
2021-07-27;B.E.0.B;36.58;75.01;24.17;59.04;12.41;15.97
2021-08-18;C.E.3.B;26.86;16.5;30.18;84.2;-3.32;-67.7
2021-09-05;C.A.3.B;23.22;49.68;34.39;21.87;-11.17;27.81
2022-01-02;D.A.S.E;28.63;88.67;30.49;46.19;-1.86;42.48
2022-02-17;B.E.2.A;12.46;9.1;14.34;75.12;-1.88;-66.02
2022-04-29;B.A.1.C;30.37;66.19;14.17;10.35;16.2;55.84
2022-05-23;C.E.2.E;21.3;15.43;34.55;30.66;-13.25;-15.23
2022-06-21;E.D.3.A;10.94;76.53;14.74;53.6;-3.8;22.93
2022-07-10;E.A.1.B;22.62;62.07;28.93;15.21;-6.31;46.86
2022-08-16;A.E.0.C;15.01;35.21;17.37;38.69;-2.36;-3.48
2021-06-05;B.B.S.A;17.22;73.56;28.45;34.72;-11.23;38.84
