day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-24;E.E.1.C;36.88;22.22;16.19;51.85;20.69;-29.63
2020-04-28;D.D.1.E;21.08;91.36;29.6;22.49;-8.52;68.87
2020-06-26;D.B.S.A;23.32;96.38;16.97;16.55;6.35;79.83
2020-08-17;B.C.1.E;31.17;35.35;15.45;52.37;15.72;-17.02
2020-10-25;E.A.S.A;35.02;77.68;19.65;98.76;15.37;-21.08
2020-11-01;E.A.3.D;27.66;11.45;13.73;25.1;13.93;-13.65
2020-12-05;D.A.3.E;11.31;2.51;19.92;81.13;-8.61;-78.62
2021-03-04;E.C.0.B;24.74;27.54;16.53;66.22;8.21;-38.68
2021-03-21;D.A.1.C;34.01;24.88;17.74;54.73;16.27;-29.85
2021-03-28;E.B.3.D;20.52;28.45;19.06;51.38;1.46;-22.93
2021-04-29;C.D.3.C;23.33;4.33;27.61;50.19;-4.28;-45.86
2021-05-07;E.E.2.B;13.9;99.59;20.68;55.22;-6.78;44.37
2021-05-28;B.A.3.E;13.6;15.45;18.58;43.94;-4.98;-28.49
2021-07-31;E.C.S.D;16.78;68.61;35.48;28.54;-18.7;40.07
2021-08-09;A.C.0.B;26.98;21.62;15.64;74.78;11.34;-53.16
2021-09-15;A.C.0.C;30.46;89.46;13.76;89.46;16.7;0.0
2021-09-23;A.E.1.A;17.56;29.62;17.73;98.25;-0.17;-68.63
2021-12-25;B.C.1.E;12.14;8.01;31.63;97.27;-19.49;-89.26
2022-02-18;E.D.0.B;19.65;41.48;21.49;64.09;-1.84;-22.61
2022-02-27;A.B.3.B;21.72;42.61;18.95;56.09;2.77;-13.48
2022-05-20;B.C.0.D;24.17;41.81;32.98;4.03;-8.81;37.78
2021-06-21;B.B.S.B;37.26;56.3;32.48;67.83;4.78;-11.53
2021-08-03;C.E.1.C;20.03;98.29;34.94;63.63;-14.91;34.66
2022-01-28;A.B.S.C;34.35;39.4;11.39;22.84;22.96;16.56
2022-04-30;A.C.3.B;10.2;52.62;13.21;23.56;-3.01;29.06
