day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-12;E.C.2.E;29.9;45.3;28.07;64.06;1.83;-18.76
2020-04-30;A.B.0.A;11.61;32.37;20.22;8.25;-8.61;24.12
2020-05-06;A.A.S.D;29.02;44.57;26.35;15.34;2.67;29.23
2020-08-22;B.B.1.B;29.46;34.73;23.98;51.84;5.48;-17.11
2020-11-10;B.D.0.C;24.86;71.27;23.98;84.08;0.88;-12.81
2020-11-29;B.D.1.C;29.11;55.74;22.53;94.65;6.58;-38.91
2020-12-08;B.D.0.A;33.08;30.82;35.74;76.57;-2.66;-45.75
2020-12-13;D.E.2.E;30.69;18.02;20.7;73.2;9.99;-55.18
2021-03-02;B.E.0.A;16.57;39.8;25.17;35.84;-8.6;3.96
2021-03-05;D.B.1.B;19.45;14.48;22.3;86.07;-2.85;-71.59
2021-03-20;D.D.1.D;21.57;57.39;19.71;13.88;1.86;43.51
2021-06-20;E.D.0.A;32.27;77.61;13.04;94.24;19.23;-16.63
2021-09-01;A.A.S.B;35.98;93.15;16.37;18.3;19.61;74.85
2021-10-18;A.A.3.B;31.4;32.37;26.4;85.09;5.0;-52.72
2022-02-27;B.E.S.E;26.58;3.22;19.16;68.28;7.42;-65.06
2022-04-09;B.A.0.D;17.36;2.3;12.45;15.57;4.91;-13.27
2022-05-23;E.D.3.B;19.51;6.52;21.54;77.69;-2.03;-71.17
2022-06-25;D.B.S.C;13.58;77.88;16.77;15.59;-3.19;62.29
2022-07-28;C.B.1.D;28.43;51.92;17.04;43.68;11.39;8.24
2021-06-10;D.A.2.A;15.59;61.81;22.24;72.93;-6.65;-11.12
2022-04-22;E.D.3.C;26.59;46.79;16.08;88.01;10.51;-41.22
