day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-08;C.D.3.A;33.72;87.65;31.92;46.56;1.8;41.09
2020-07-13;A.A.1.D;15.34;32.17;34.56;79.27;-19.22;-47.1
2020-07-23;B.E.2.D;15.31;61.17;34.64;21.34;-19.33;39.83
2020-09-30;A.D.2.A;24.59;94.24;23.27;38.04;1.32;56.2
2020-12-04;E.D.3.E;19.57;68.51;20.61;66.57;-1.04;1.94
2020-12-12;D.A.1.B;19.45;46.39;21.64;8.6;-2.19;37.79
2021-01-12;D.D.3.B;31.96;83.95;14.35;49.17;17.61;34.78
2021-01-24;A.E.1.D;27.27;38.42;27.12;96.24;0.15;-57.82
2021-02-15;A.A.0.B;12.8;46.16;29.33;41.47;-16.53;4.69
2021-03-19;C.A.S.A;29.81;79.56;28.74;63.75;1.07;15.81
2021-03-25;A.A.S.C;36.89;43.06;27.76;87.46;9.13;-44.4
2021-05-23;D.E.2.E;28.47;45.5;14.99;65.94;13.48;-20.44
2021-07-14;C.B.0.A;23.05;0.72;26.24;95.65;-3.19;-94.93
2021-07-28;D.E.S.A;35.2;13.13;14.49;38.64;20.71;-25.51
2021-08-06;C.C.2.E;19.97;29.46;16.17;34.79;3.8;-5.33
2021-08-18;B.C.2.D;24.74;6.39;23.07;63.88;1.67;-57.49
2021-11-06;D.A.S.D;12.54;50.13;34.35;83.06;-21.81;-32.93
2021-11-10;D.E.0.B;28.84;78.06;12.13;34.68;16.71;43.38
2021-11-19;A.E.0.C;24.85;47.62;23.85;10.8;1.0;36.82
2022-02-19;C.D.3.C;19.77;53.89;35.02;75.94;-15.25;-22.05
2022-05-31;B.A.3.C;29.97;94.7;30.43;56.98;-0.46;37.72
2022-08-03;B.C.3.E;14.64;16.16;34.03;1.21;-19.39;14.95
2022-08-08;B.E.3.C;14.14;63.88;27.63;37.43;-13.49;26.45
2022-08-29;C.C.0.A;23.16;2.89;35.48;29.05;-12.32;-26.16
2021-06-26;C.D.0.B;23.37;38.15;25.72;3.97;-2.35;34.18
2021-11-05;A.E.1.C;27.67;94.45;35.48;59.29;-7.81;35.16
2022-04-13;E.C.0.E;34.85;69.78;20.06;91.3;14.79;-21.52
