day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-22;A.B.1.A;11.34;7.97;30.38;12.03;-19.04;-4.06
2020-05-25;C.E.S.D;16.48;65.56;12.12;58.57;4.36;6.99
2020-06-04;D.E.3.A;24.55;20.87;25.44;29.0;-0.89;-8.13
2020-06-09;D.B.2.D;10.94;11.66;26.11;68.65;-15.17;-56.99
2020-07-04;E.A.S.B;33.18;96.04;20.84;26.95;12.34;69.09
2020-09-14;B.E.3.C;16.65;35.13;35.29;41.68;-18.64;-6.55
2020-11-22;B.E.2.A;14.51;3.57;12.97;4.49;1.54;-0.92
2020-11-24;C.B.1.B;18.52;28.35;30.53;54.7;-12.01;-26.35
2020-12-13;E.B.0.A;31.38;78.85;22.71;66.61;8.67;12.24
2020-12-19;D.C.S.C;26.69;44.66;26.71;59.52;-0.02;-14.86
2021-05-04;C.B.1.C;15.51;20.58;30.7;89.4;-15.19;-68.82
2021-05-25;B.E.3.B;22.34;91.5;30.74;27.4;-8.4;64.1
2021-06-20;B.A.1.E;19.66;43.34;36.24;10.77;-16.58;32.57
2021-11-12;B.A.S.C;17.66;74.72;29.18;68.45;-11.52;6.27
2021-12-04;B.A.S.A;37.28;19.13;20.94;53.21;16.34;-34.08
2022-01-08;D.D.1.B;10.44;94.68;21.93;43.75;-11.49;50.93
2022-01-14;E.E.3.E;30.25;70.15;25.43;5.95;4.82;64.2
2022-03-21;A.B.1.C;28.29;82.57;25.84;37.86;2.45;44.71
2022-04-30;B.E.2.C;30.68;80.03;10.3;53.07;20.38;26.96
2022-06-30;E.E.S.A;36.52;22.13;25.89;2.42;10.63;19.71
2022-07-02;A.A.1.D;23.61;57.81;17.49;92.57;6.12;-34.76
