day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-22;E.E.0.B;28.0;58.41;26.73;4.95;1.27;53.46
2020-06-12;E.A.2.D;17.83;26.08;31.43;0.43;-13.6;25.65
2020-06-19;E.B.0.C;33.4;8.64;36.79;41.65;-3.39;-33.01
2020-08-16;A.C.0.C;11.29;47.79;19.43;80.82;-8.14;-33.03
2020-08-25;A.D.0.E;19.24;26.09;17.85;96.22;1.39;-70.13
2020-09-24;C.E.2.B;31.44;80.1;13.46;60.08;17.98;20.02
2020-10-13;D.B.S.D;29.54;89.94;27.42;35.03;2.12;54.91
2020-12-31;D.D.3.E;13.78;47.43;27.05;2.69;-13.27;44.74
2021-01-11;E.E.S.D;29.72;89.39;36.65;71.21;-6.93;18.18
2021-02-23;C.C.1.E;11.37;10.3;26.67;85.42;-15.3;-75.12
2021-04-01;C.B.S.A;36.18;75.11;37.31;47.65;-1.13;27.46
2021-04-14;B.D.1.E;18.05;52.68;37.32;87.96;-19.27;-35.28
2021-06-09;B.B.1.C;29.87;70.66;28.49;59.59;1.38;11.07
2021-07-07;B.A.S.C;37.39;45.54;23.1;99.8;14.29;-54.26
2021-11-09;E.B.2.B;27.06;29.46;37.31;91.59;-10.25;-62.13
2021-11-18;A.C.1.C;27.69;14.84;10.49;41.86;17.2;-27.02
2022-02-12;A.A.S.A;11.61;3.35;12.98;11.93;-1.37;-8.58
2022-04-24;E.E.1.A;32.0;80.47;24.47;19.91;7.53;60.56
2022-07-01;D.B.1.C;28.69;55.41;13.3;84.31;15.39;-28.9
2022-07-02;E.E.S.E;11.21;73.9;24.88;72.48;-13.67;1.42
2022-08-07;E.E.3.C;28.64;92.65;36.91;51.08;-8.27;41.57
2022-05-06;A.B.0.D;15.07;71.97;23.25;65.2;-8.18;6.77
