day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-07-20;E.B.2.D;27.58;22.06;34.59;7.1;-7.01;14.96
2020-08-06;E.A.1.A;16.05;73.72;27.95;53.15;-11.9;20.57
2020-10-11;D.A.2.C;10.14;6.79;28.52;96.16;-18.38;-89.37
2020-10-29;A.B.3.B;31.96;98.19;15.18;76.92;16.78;21.27
2020-11-16;C.E.3.D;29.76;43.22;24.43;39.17;5.33;4.05
2021-01-18;A.E.1.D;33.41;35.91;28.67;0.95;4.74;34.96
2021-04-10;E.E.3.A;16.19;33.42;26.52;79.19;-10.33;-45.77
2021-06-02;E.C.2.E;35.22;67.44;35.52;89.78;-0.3;-22.34
2021-07-25;C.D.0.E;21.3;53.47;14.77;23.26;6.53;30.21
2021-08-04;D.C.1.B;20.53;29.58;12.96;47.7;7.57;-18.12
2021-08-07;A.D.1.D;25.33;14.85;16.63;14.67;8.7;0.18
2021-08-19;A.C.0.C;16.16;65.05;16.44;47.89;-0.28;17.16
2021-10-01;B.C.1.E;24.99;53.57;18.72;35.21;6.27;18.36
2021-11-02;C.D.1.B;10.2;39.7;34.09;33.97;-23.89;5.73
2021-11-21;A.A.2.D;15.71;46.5;13.42;53.8;2.29;-7.3
2021-12-30;E.C.1.A;31.64;56.89;10.54;27.27;21.1;29.62
2022-01-09;E.C.2.A;11.74;0.1;13.57;61.36;-1.83;-61.26
2022-01-24;D.E.S.E;10.73;50.1;19.22;81.39;-8.49;-31.29
2022-03-23;D.A.0.A;31.93;53.26;25.3;38.43;6.63;14.83
2022-07-17;A.D.1.E;31.38;28.86;14.63;12.15;16.75;16.71
2021-09-14;E.E.0.B;19.6;65.81;22.04;5.86;-2.44;59.95
