day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-29;A.B.S.D;19.2;32.94;25.25;53.87;-6.05;-20.93
2020-06-30;B.C.3.D;15.54;34.91;23.64;6.79;-8.1;28.12
2020-07-02;C.E.2.E;16.91;23.89;15.66;18.29;1.25;5.6
2020-08-23;E.A.0.C;15.61;99.91;24.76;27.96;-9.15;71.95
2020-08-24;C.D.S.C;10.19;57.14;18.86;34.91;-8.67;22.23
2020-08-28;C.E.1.C;12.6;28.2;28.88;67.59;-16.28;-39.39
2020-09-25;D.A.3.A;27.52;0.24;16.16;50.04;11.36;-49.8
2021-01-08;D.C.1.C;20.44;14.99;18.72;41.8;1.72;-26.81
2021-01-25;C.D.2.E;19.57;5.69;18.34;97.98;1.23;-92.29
2021-02-07;B.C.S.D;26.14;8.07;25.56;5.22;0.58;2.85
2021-03-09;C.B.0.E;34.9;82.7;33.63;83.47;1.27;-0.77
2021-03-20;A.E.1.A;28.91;74.22;13.39;66.79;15.52;7.43
2021-04-10;A.C.3.B;22.06;56.58;20.3;98.19;1.76;-41.61
2021-06-28;A.D.2.B;24.57;20.35;33.38;16.98;-8.81;3.37
2021-07-30;D.E.1.D;24.04;93.66;29.32;65.73;-5.28;27.93
2021-08-11;A.A.2.B;18.87;36.27;26.2;65.19;-7.33;-28.92
2021-11-20;E.B.1.C;29.61;78.13;32.22;44.2;-2.61;33.93
2022-01-16;A.C.S.C;36.41;98.18;16.77;30.47;19.64;67.71
2022-06-05;D.C.1.C;25.56;89.3;13.49;70.67;12.07;18.63
2022-08-09;A.D.1.B;33.24;27.59;11.82;11.19;21.42;16.4
2022-07-07;A.E.3.A;34.49;18.66;36.3;93.69;-1.81;-75.03
