day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-30;D.B.1.A;29.36;4.82;23.91;0.99;5.45;3.83
2020-06-12;A.C.0.A;25.2;64.04;22.15;10.74;3.05;53.3
2020-08-23;A.E.S.E;18.99;98.32;35.23;41.12;-16.24;57.2
2020-11-12;B.B.2.D;11.07;46.24;33.18;46.43;-22.11;-0.19
2020-12-11;A.B.3.C;26.66;16.98;22.07;34.21;4.59;-17.23
2021-01-04;A.E.S.A;27.43;22.93;26.98;89.15;0.45;-66.22
2021-02-03;B.B.2.D;17.76;13.43;16.93;87.97;0.83;-74.54
2021-02-18;E.D.3.B;10.9;61.72;20.44;75.06;-9.54;-13.34
2021-03-25;D.B.1.A;32.08;1.67;27.57;54.98;4.51;-53.31
2021-04-14;C.A.3.E;30.51;88.16;14.62;76.19;15.89;11.97
2021-09-02;A.C.3.C;31.69;6.74;29.84;59.0;1.85;-52.26
2021-10-05;A.D.2.A;19.35;59.1;10.31;55.87;9.04;3.23
2022-02-19;B.A.2.D;17.37;83.47;35.57;23.85;-18.2;59.62
2022-07-01;A.D.2.B;13.87;83.96;29.6;57.32;-15.73;26.64
2022-03-04;A.C.3.C;21.61;1.15;29.43;92.8;-7.82;-91.65
2022-03-14;E.B.3.B;11.49;69.27;28.12;92.2;-16.63;-22.93
