day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-22;E.B.1.B;22.91;28.43;22.08;19.29;0.83;9.14
2020-05-12;D.D.3.E;15.21;3.29;13.23;7.83;1.98;-4.54
2020-07-07;B.B.0.A;12.26;57.94;23.46;16.77;-11.2;41.17
2020-07-09;E.B.S.E;29.75;18.21;10.87;49.45;18.88;-31.24
2020-11-16;A.A.2.A;14.04;97.83;27.57;93.98;-13.53;3.85
2021-01-29;A.B.3.E;26.17;83.73;15.68;87.95;10.49;-4.22
2021-02-12;D.A.3.B;31.12;86.67;26.84;50.61;4.28;36.06
2021-05-12;D.D.S.E;37.0;16.36;13.44;60.4;23.56;-44.04
2021-05-29;A.E.0.D;31.48;35.23;30.32;74.43;1.16;-39.2
2021-11-05;E.D.3.A;20.17;53.15;11.84;81.8;8.33;-28.65
2022-03-18;E.D.3.A;35.4;75.81;23.52;62.41;11.88;13.4
2022-03-19;B.D.2.B;22.88;46.34;36.11;40.12;-13.23;6.22
2022-04-04;C.B.0.D;35.08;51.86;22.15;12.34;12.93;39.52
2022-04-06;B.E.0.A;16.1;4.51;14.93;38.76;1.17;-34.25
2022-05-06;E.C.3.E;22.86;69.24;21.62;65.05;1.24;4.19
2022-05-07;C.B.S.E;27.08;47.77;10.7;74.86;16.38;-27.09
2022-08-02;E.E.S.A;23.92;75.0;28.76;9.87;-4.84;65.13
2022-08-20;E.E.0.E;15.56;79.86;22.12;30.18;-6.56;49.68
2022-01-27;B.B.2.C;35.86;86.0;28.09;61.11;7.77;24.89
