day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-02;C.A.1.C;22.17;92.19;22.77;5.25;-0.6;86.94
2020-04-02;A.E.S.E;35.3;61.09;30.88;58.48;4.42;2.61
2020-07-19;B.A.3.D;34.05;59.29;27.83;21.29;6.22;38.0
2020-10-24;C.C.0.D;10.83;82.88;32.67;55.62;-21.84;27.26
2020-11-23;D.A.S.E;35.87;97.76;12.25;14.09;23.62;83.67
2021-05-18;E.B.S.C;35.37;80.02;30.91;96.95;4.46;-16.93
2021-07-15;E.D.S.D;20.48;1.4;14.05;25.61;6.43;-24.21
2021-08-10;A.E.S.C;35.58;70.44;11.5;77.33;24.08;-6.89
2021-09-21;C.E.2.E;14.65;53.17;24.15;45.28;-9.5;7.89
2022-05-14;E.C.0.E;13.36;86.54;36.98;40.14;-23.62;46.4
2022-06-29;D.B.2.A;29.29;2.5;32.98;45.7;-3.69;-43.2
