day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-01;D.D.S.C;24.66;5.15;20.43;71.88;4.23;-66.73
2020-07-22;C.A.1.A;20.69;59.51;16.03;88.41;4.66;-28.9
2020-08-21;A.C.3.D;23.54;20.57;15.5;23.21;8.04;-2.64
2020-09-16;A.D.S.B;19.89;54.47;14.45;50.99;5.44;3.48
2020-09-25;E.D.1.A;32.48;79.3;28.28;58.02;4.2;21.28
2020-09-30;B.D.2.E;12.65;9.75;37.19;75.14;-24.54;-65.39
2020-10-26;E.C.1.C;27.01;50.77;12.37;21.32;14.64;29.45
2020-11-26;B.B.1.C;23.4;84.28;23.31;34.58;0.09;49.7
2021-02-06;A.A.0.E;26.14;37.36;36.97;58.53;-10.83;-21.17
2021-03-28;D.B.1.C;15.87;13.18;27.94;36.6;-12.07;-23.42
2021-04-02;C.E.3.D;31.84;26.05;16.93;17.59;14.91;8.46
2021-07-02;B.E.3.A;37.43;77.59;18.89;0.76;18.54;76.83
2021-07-17;C.A.1.E;25.5;5.65;20.93;3.48;4.57;2.17
2021-09-09;D.E.3.E;20.22;52.48;14.04;47.14;6.18;5.34
2021-09-13;C.A.3.E;26.81;45.8;16.16;31.58;10.65;14.22
2021-09-14;B.A.1.B;29.81;48.14;23.26;47.09;6.55;1.05
2021-12-23;E.A.3.B;20.61;61.17;17.01;74.36;3.6;-13.19
2022-01-15;E.C.2.C;28.24;90.75;21.02;13.25;7.22;77.5
2022-01-26;C.D.3.E;16.97;98.27;19.18;60.27;-2.21;38.0
2022-02-05;D.E.1.B;22.46;90.8;20.29;10.97;2.17;79.83
2022-02-07;A.C.3.B;23.87;45.6;12.64;74.21;11.23;-28.61
2022-02-17;A.E.3.A;25.84;36.76;37.16;68.94;-11.32;-32.18
2022-02-19;A.E.2.B;21.11;34.14;32.17;47.78;-11.06;-13.64
2022-02-22;D.B.S.A;29.89;3.72;11.47;12.85;18.42;-9.13
2022-04-11;D.C.2.D;37.41;33.04;22.13;10.51;15.28;22.53
2022-04-25;C.A.0.E;21.12;23.9;21.44;8.8;-0.32;15.1
2022-05-16;C.B.1.D;30.65;45.61;20.92;15.42;9.73;30.19
2022-06-25;D.D.0.A;13.68;68.85;18.65;98.05;-4.97;-29.2
2022-06-28;D.C.S.A;27.81;67.64;33.98;74.21;-6.17;-6.57
2022-03-10;C.E.1.B;13.76;5.61;21.26;7.21;-7.5;-1.6
2022-07-07;B.C.S.E;34.74;57.02;27.43;18.88;7.31;38.14
