day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-06-01;B.C.0.B;23.21;91.59;26.61;66.12;-3.4;25.47
2020-06-02;D.C.3.D;36.46;24.57;37.22;72.01;-0.76;-47.44
2020-07-02;B.C.1.D;34.5;44.49;10.99;64.03;23.51;-19.54
2020-11-11;B.E.1.B;30.81;41.87;26.17;22.04;4.64;19.83
2021-02-05;C.C.S.B;23.7;90.96;30.87;27.44;-7.17;63.52
2021-04-02;E.E.3.E;30.1;20.31;21.57;28.38;8.53;-8.07
2021-04-28;B.A.0.E;17.02;19.24;23.78;30.46;-6.76;-11.22
2021-05-13;A.B.S.B;21.96;35.86;22.14;17.7;-0.18;18.16
2021-05-29;D.E.S.B;29.87;62.75;14.31;81.04;15.56;-18.29
2021-08-07;D.B.2.C;36.71;89.26;16.49;60.44;20.22;28.82
2021-08-13;C.A.2.D;30.57;73.4;35.96;4.72;-5.39;68.68
2021-12-14;D.E.S.A;25.1;22.24;33.49;8.12;-8.39;14.12
2022-04-21;B.C.2.A;13.73;50.92;15.43;90.5;-1.7;-39.58
2022-04-27;E.D.1.E;13.43;0.55;31.71;96.76;-18.28;-96.21
2022-07-13;D.B.3.B;34.57;39.97;29.19;77.71;5.38;-37.74
2022-07-18;D.E.2.A;35.32;89.71;24.08;17.07;11.24;72.64
2022-08-29;E.D.2.A;16.34;89.95;16.36;73.65;-0.02;16.3
2021-08-18;C.C.1.A;35.06;8.17;11.07;87.01;23.99;-78.84
2022-05-26;B.E.0.D;17.59;34.13;32.59;97.43;-15.0;-63.3
