day;fullRoomLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-03;B.A.2.D;26.04;37.75;25.47;41.49;0.57;-3.74
2020-05-04;D.B.3.A;14.59;10.25;28.97;86.88;-14.38;-76.63
2020-06-05;D.A.2.D;16.46;15.38;25.49;49.31;-9.03;-33.93
2020-06-11;A.B.2.D;22.98;84.45;35.62;35.62;-12.64;48.83
2020-07-02;C.D.0.A;14.25;63.47;30.23;83.5;-15.98;-20.03
2020-07-16;C.C.0.A;17.41;76.81;31.45;66.56;-14.04;10.25
2020-08-11;A.C.1.B;29.17;36.49;23.09;48.35;6.08;-11.86
2020-08-17;C.D.1.A;19.03;45.26;26.73;9.24;-7.7;36.02
2020-11-18;C.B.3.D;19.55;93.87;20.28;78.7;-0.73;15.17
2021-03-16;A.C.0.C;17.06;8.58;24.01;26.07;-6.95;-17.49
2021-04-24;C.D.S.C;30.07;63.78;19.68;20.79;10.39;42.99
2021-05-14;C.B.1.C;14.83;64.94;19.16;16.64;-4.33;48.3
2021-07-26;E.E.1.C;31.09;78.14;21.32;26.55;9.77;51.59
2022-01-19;E.A.3.B;14.7;28.83;14.04;59.84;0.66;-31.01
2022-04-25;E.A.3.C;13.85;74.5;19.13;0.35;-5.28;74.15
2022-05-27;D.C.3.E;26.73;69.27;22.1;80.25;4.63;-10.98
2022-07-01;B.B.2.C;37.13;64.63;26.32;95.34;10.81;-30.71
2022-07-18;D.C.2.D;31.72;75.91;35.2;33.74;-3.48;42.17
2022-08-05;C.E.3.B;35.2;51.92;18.77;12.34;16.43;39.58
2021-09-28;E.A.S.B;11.83;54.57;36.77;94.67;-24.94;-40.1
2022-04-15;C.A.2.C;19.28;57.37;15.58;90.33;3.7;-32.96
2022-07-16;E.D.2.B;32.03;28.73;27.44;35.91;4.59;-7.18
