B;01/04/2022 00:05;24,7;99,83
A;01/04/2022 00:14;23,65;54,09
E;01/04/2022 00:14;21,9;27,08
B;01/04/2022 00:20;36,42;99,36
A;01/04/2022 00:23;25,19;63,31
E;01/04/2022 00:33;30,79;71
C;01/04/2022 00:36;29,965;29,67
A;01/04/2022 00:41;22,24;4,05
A;01/04/2022 00:46;31,67;18,06
B;01/04/2022 00:47;36,16;36
D;01/04/2022 00:56;33,72;61,15
C;01/04/2022 01:01;13,22;64,42
E;01/04/2022 01:05;11,53;87,43
E;01/04/2022 01:20;19,18;70,85
A;01/04/2022 01:50;28,09;28,04
C;01/04/2022 01:53;13,92;59,81
B;01/04/2022 01:54;36,29;47,31
E;01/04/2022 02:03;14,77;28,36
E;01/04/2022 02:09;28,825;6,675
E;01/04/2022 02:13;23,35;92,81
A;01/04/2022 02:18;33,06;26,82
D;01/04/2022 02:19;22,71;67,94
D;01/04/2022 02:22;34,08;34,49
C;01/04/2022 02:29;27,68;42,74
E;01/04/2022 02:38;24,34;81,28
E;01/04/2022 02:39;17,27;5,83
C;01/04/2022 02:41;25,08;39,23
D;01/04/2022 02:42;23,4;26,57
C;01/04/2022 02:54;25,31;93,52
E;01/04/2022 03:02;26,17;14,01
A;01/04/2022 03:04;24,45;91,2
E;01/04/2022 03:09;15,28;92,97
C;01/04/2022 03:09;18,09;67,53
B;01/04/2022 03:11;23,55;52,38
C;01/04/2022 03:11;21,09;15,89
A;01/04/2022 03:16;27,29;1,37
E;01/04/2022 03:31;22,02;23,99
E;01/04/2022 03:38;22,53;86,29
C;01/04/2022 03:49;18,32;24,86
A;01/04/2022 03:50;21,5;9,48
E;01/04/2022 03:52;23,69;90,76
D;01/04/2022 03:52;34,45;67,26
C;01/04/2022 03:55;18,81;38,21
B;01/04/2022 03:58;10,42;2,16
E;01/04/2022 04:05;27,24;79,8
B;01/04/2022 04:12;19,07;58,91
E;01/04/2022 04:15;36,91;35,13
D;01/04/2022 04:16;37,41;0,95
C;01/04/2022 04:16;33,52;7,2
A;01/04/2022 04:22;18,39;74,17
A;01/04/2022 04:29;17,69;76,2
C;01/04/2022 04:29;17,74;61,06
B;01/04/2022 04:30;24,28;92,83
B;01/04/2022 04:32;21,67;26,62
E;01/04/2022 04:32;37,01;27,64
A;01/04/2022 04:33;16,88;27,78
C;01/04/2022 04:34;13,16;90,32
E;01/04/2022 04:37;25,93;5,22
B;01/04/2022 04:40;35,56;53,96
