day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-03;A.A;21.83;40.06;21.55;62.3;0.28;-22.24
2020-04-06;C.A;23.17;48.8;20.62;40.57;2.55;8.23
2020-04-30;E.D;21.04;31.84;12.61;57.41;8.43;-25.57
2020-04-30;A.B;14.36;35.5;26.15;28.6;-11.79;6.9
2020-06-05;E.D;32.01;1.55;21.59;62.39;10.42;-60.84
2020-06-21;C.B;11.87;48.8;34.07;84.04;-22.2;-35.24
2020-06-24;E.C;26.02;42.22;29.47;49.38;-3.45;-7.16
2020-06-30;C.D;31.07;61.1;16.78;77.2;14.29;-16.1
2020-07-04;A.E;12.8;61.02;14.54;9.0;-1.74;52.02
2020-07-10;D.D;24.36;49.5;23.18;46.44;1.18;3.06
2020-08-06;A.C;22.33;55.39;29.73;53.61;-7.4;1.78
2020-08-12;E.A;27.39;87.56;24.32;58.24;3.07;29.32
2020-08-14;E.C;26.48;99.92;17.39;80.26;9.09;19.66
2020-09-04;D.E;20.14;55.38;30.33;51.82;-10.19;3.56
2020-09-18;D.E;19.68;67.34;24.91;61.54;-5.23;5.8
2020-09-22;D.D;25.59;40.84;19.61;52.26;5.98;-11.42
2020-09-30;B.D;12.65;9.75;20.83;55.5;-8.18;-45.75
2020-10-10;E.A;23.72;65.62;21.23;73.89;2.49;-8.27
2020-11-02;E.C;25.04;56.8;26.5;46.77;-1.46;10.03
2020-11-04;D.B;16.37;3.36;17.18;39.63;-0.81;-36.27
2020-12-07;B.C;30.36;72.06;20.01;18.09;10.35;53.97
2020-12-19;C.D;22.53;91.07;24.35;42.89;-1.82;48.18
2020-12-31;E.B;15.75;75.28;15.57;53.77;0.18;21.51
2021-01-21;C.E;28.8;26.99;19.68;82.29;9.12;-55.3
2021-01-25;D.C;18.69;72.21;19.86;48.27;-1.17;23.94
2021-01-31;E.D;28.39;24.78;28.28;37.51;0.11;-12.73
2021-02-05;D.A;21.75;73.76;18.51;32.8;3.24;40.96
2021-03-01;D.E;26.69;62.97;15.16;28.29;11.53;34.68
2021-03-11;D.E;34.12;24.34;15.53;35.79;18.59;-11.45
2021-03-13;B.A;17.2;94.32;22.15;13.22;-4.95;81.1
2021-03-20;E.B;26.33;1.83;11.52;45.18;14.81;-43.35
2021-04-09;E.D;21.27;57.11;19.38;36.03;1.89;21.08
2021-05-01;D.A;31.07;83.77;23.8;49.31;7.27;34.46
2021-05-16;E.A;28.57;46.26;23.32;0.39;5.25;45.87
2021-05-18;D.A;26.2;84.85;14.54;0.98;11.66;83.87
2021-05-28;E.A;35.6;51.96;29.49;23.06;6.11;28.9
2021-06-20;B.C;36.14;79.89;22.46;50.09;13.68;29.8
2021-06-26;D.A;18.05;64.56;32.04;83.94;-13.99;-19.38
2021-07-19;E.B;34.54;75.44;15.57;70.28;18.97;5.16
2021-07-31;D.E;24.28;26.91;28.58;56.25;-4.3;-29.34
2021-09-20;A.B;21.87;32.76;22.24;97.54;-0.37;-64.78
2021-09-21;B.D;16.51;14.85;21.42;47.58;-4.91;-32.73
2021-09-22;C.D;12.85;31.51;19.86;57.44;-7.01;-25.93
2021-09-26;A.A;25.55;48.08;26.94;31.42;-1.39;16.66
2021-10-25;D.E;19.96;23.9;17.44;27.37;2.52;-3.47
2021-10-25;A.A;21.87;70.18;31.09;24.19;-9.22;45.99
2021-11-28;E.C;31.74;63.14;14.16;50.93;17.58;12.21
2021-12-12;C.A;15.54;76.27;23.75;41.68;-8.21;34.59
2021-12-15;C.C;23.35;66.68;18.93;74.36;4.42;-7.68
2021-12-15;D.B;34.64;71.08;20.85;29.86;13.79;41.22
2021-12-20;B.B;20.38;55.05;23.97;58.62;-3.59;-3.57
2022-01-18;A.C;32.0;28.8;13.53;66.59;18.47;-37.79
2022-01-27;B.D;13.39;11.35;19.7;44.11;-6.31;-32.76
2022-02-19;D.E;14.51;83.16;19.87;65.54;-5.36;17.62
2022-03-10;C.B;21.02;83.13;26.29;48.75;-5.27;34.38
2022-03-22;D.A;16.41;43.73;27.69;30.1;-11.28;13.63
2022-04-13;D.B;14.9;66.56;13.89;1.83;1.01;64.73
2022-04-21;E.A;29.91;48.85;30.65;87.69;-0.74;-38.84
2022-05-03;B.C;14.66;67.56;14.62;93.54;0.04;-25.98
2022-05-10;C.E;27.51;32.89;36.3;68.64;-8.79;-35.75
2022-05-19;D.B;18.59;59.25;15.92;91.92;2.67;-32.67
2022-05-25;E.D;29.07;44.53;32.94;72.96;-3.87;-28.43
2022-05-26;E.E;24.39;53.7;24.87;78.94;-0.48;-25.24
2022-06-14;E.A;33.86;62.86;28.63;54.08;5.23;8.78
2022-07-07;B.E;24.62;41.6;30.68;22.74;-6.06;18.86
2022-07-12;E.B;27.47;30.4;27.27;23.71;0.2;6.69
2022-07-30;C.B;37.18;75.85;16.06;56.33;21.12;19.52
2020-06-24;D.A;35.83;56.3;27.54;46.61;8.29;9.69
2020-08-18;A.E;13.07;91.67;36.06;85.27;-22.99;6.4
2020-08-28;D.C;23.96;69.31;20.24;48.13;3.72;21.18
2021-01-18;D.C;21.58;81.92;34.61;0.61;-13.03;81.31
2021-01-18;A.C;24.09;63.87;24.58;54.49;-0.49;9.38
2021-01-23;A.E;11.04;52.22;23.86;71.09;-12.82;-18.87
2021-02-20;A.B;11.77;59.45;17.62;71.48;-5.85;-12.03
2021-04-08;D.B;24.11;55.42;24.9;62.52;-0.79;-7.1
2021-05-08;A.B;10.76;42.42;30.72;43.14;-19.96;-0.72
2021-06-14;B.A;34.32;17.7;27.37;8.07;6.95;9.63
2021-06-19;D.C;26.36;62.36;15.9;73.63;10.46;-11.27
2021-07-11;D.B;19.94;67.72;20.51;46.34;-0.57;21.38
2021-07-31;A.D;28.06;71.72;18.99;43.03;9.07;28.69
2021-09-15;A.D;21.31;84.39;36.44;72.85;-15.13;11.54
2021-10-21;A.D;31.13;77.16;25.23;51.95;5.9;25.21
2021-12-05;D.D;21.14;27.37;18.61;81.89;2.53;-54.52
2022-01-01;A.C;25.85;70.51;23.69;42.66;2.16;27.85
2022-04-28;C.B;29.38;62.59;21.69;74.7;7.69;-12.11
2022-05-23;A.B;23.05;41.93;28.36;58.22;-5.31;-16.29
2022-06-24;A.D;19.21;34.55;18.32;43.91;0.89;-9.36
2022-07-26;A.E;10.5;40.57;12.98;89.2;-2.48;-48.63
