day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-01;B.A;25.05;14.85;17.85;62.14;7.2;-47.29
2020-04-26;C.C;24.65;78.96;25.96;37.94;-1.31;41.02
2020-04-29;B.C;25.09;86.93;28.53;69.09;-3.44;17.84
2020-05-07;B.C;20.36;62.27;21.4;77.45;-1.04;-15.18
2020-06-07;D.D;21.13;57.38;29.1;72.03;-7.97;-14.65
2020-06-13;D.E;20.92;42.25;15.2;9.05;5.72;33.2
2020-06-14;A.E;25.53;92.48;28.68;14.2;-3.15;78.28
2020-06-20;D.E;24.89;41.86;21.44;72.33;3.45;-30.47
2020-06-20;E.E;25.21;16.01;18.33;73.04;6.88;-57.03
2020-06-26;D.E;22.25;37.27;22.85;48.0;-0.6;-10.73
2020-07-08;C.B;35.61;6.65;35.73;17.28;-0.12;-10.63
2020-07-13;C.A;17.95;60.59;30.1;94.84;-12.15;-34.25
2020-07-19;B.D;28.76;32.39;19.86;53.0;8.9;-20.61
2020-07-21;B.A;28.07;88.62;21.43;40.1;6.64;48.52
2020-07-29;A.C;16.47;80.59;35.72;33.68;-19.25;46.91
2020-07-31;B.B;23.96;72.4;12.45;66.59;11.51;5.81
2020-08-07;E.A;24.99;57.68;25.07;35.96;-0.08;21.72
2020-08-22;E.D;22.97;47.08;29.14;63.15;-6.17;-16.07
2020-09-06;E.E;18.21;20.5;20.9;48.92;-2.69;-28.42
2020-09-06;A.A;19.75;27.8;25.84;57.85;-6.09;-30.05
2020-09-15;C.D;22.52;37.81;18.78;44.74;3.74;-6.93
2020-10-19;C.D;18.2;78.11;26.53;56.81;-8.33;21.3
2020-12-04;E.E;33.69;73.2;16.16;46.73;17.53;26.47
2020-12-08;B.E;27.93;16.81;21.34;62.16;6.59;-45.35
2020-12-12;E.E;21.79;66.64;26.43;96.78;-4.64;-30.14
2021-01-08;D.D;18.4;63.72;24.28;63.81;-5.88;-0.09
2021-01-13;C.D;17.07;88.06;20.17;34.51;-3.1;53.55
2021-02-01;E.B;25.86;41.83;22.99;36.88;2.87;4.95
2021-02-06;E.C;20.34;50.38;13.46;62.27;6.88;-11.89
2021-02-18;B.E;23.69;12.87;27.64;70.54;-3.95;-57.67
2021-03-23;D.D;31.44;39.3;32.76;72.06;-1.32;-32.76
2021-03-28;E.E;34.56;64.83;24.62;41.33;9.94;23.5
2021-05-04;E.A;30.08;6.36;26.75;40.99;3.33;-34.63
2021-05-16;D.E;26.01;56.35;20.07;61.46;5.94;-5.11
2021-05-29;D.C;25.6;45.96;26.96;35.28;-1.36;10.68
2021-06-07;E.E;29.22;51.4;29.23;17.6;-0.01;33.8
2021-06-09;E.B;26.18;78.89;13.33;91.98;12.85;-13.09
2021-06-10;E.D;24.84;61.5;10.83;35.58;14.01;25.92
2021-06-11;A.D;13.78;37.17;18.09;52.21;-4.31;-15.04
2021-07-09;E.D;24.91;88.88;23.86;53.42;1.05;35.46
2021-07-10;E.E;19.13;94.59;21.1;63.22;-1.97;31.37
2021-08-05;E.A;27.27;59.59;18.92;22.21;8.35;37.38
2021-08-06;B.C;24.43;42.49;15.2;97.35;9.23;-54.86
2021-09-12;B.C;11.41;30.39;23.5;82.67;-12.09;-52.28
2021-09-23;C.C;22.21;55.06;28.05;47.95;-5.84;7.11
2021-10-03;E.D;12.47;70.57;19.6;59.6;-7.13;10.97
2021-10-13;C.D;22.64;27.6;19.34;33.3;3.3;-5.7
2021-10-24;E.A;23.68;40.64;25.06;38.73;-1.38;1.91
2021-11-08;B.A;24.69;18.86;20.07;45.12;4.62;-26.26
2021-11-20;D.D;17.97;51.54;12.62;76.42;5.35;-24.88
2021-12-10;D.A;19.62;73.5;30.39;58.99;-10.77;14.51
2021-12-22;C.B;24.56;52.8;27.93;4.02;-3.37;48.78
2021-12-31;E.C;19.38;35.51;21.83;81.73;-2.45;-46.22
2022-02-04;C.C;28.91;31.18;18.67;76.45;10.24;-45.27
2022-02-18;C.A;12.0;25.78;24.35;33.82;-12.35;-8.04
2022-03-18;B.E;13.81;12.07;18.68;57.73;-4.87;-45.66
2022-04-09;D.E;19.77;61.93;25.33;68.17;-5.56;-6.24
2022-04-20;E.C;21.66;78.12;25.14;53.35;-3.48;24.77
2022-06-20;A.E;30.09;84.61;25.16;57.94;4.93;26.67
2022-06-27;D.B;18.42;28.56;30.78;38.36;-12.36;-9.8
2022-07-01;D.D;22.26;47.49;24.63;24.65;-2.37;22.84
2022-07-09;E.A;23.3;53.12;25.3;41.21;-2.0;11.91
2022-08-06;E.A;24.17;36.71;26.08;71.67;-1.91;-34.96
2022-08-07;C.C;21.44;58.15;22.81;58.3;-1.37;-0.15
2022-08-21;C.B;18.22;6.33;22.87;21.14;-4.65;-14.81
2022-08-23;C.D;30.87;80.11;25.85;74.39;5.02;5.72
2020-08-09;A.D;24.42;10.7;28.4;44.21;-3.98;-33.51
2020-09-07;B.D;27.75;45.84;19.47;39.2;8.28;6.64
2020-10-09;B.D;18.76;52.8;17.76;47.09;1.0;5.71
2020-10-31;B.B;13.32;50.26;20.23;68.87;-6.91;-18.61
2020-11-29;A.B;24.17;98.07;26.1;68.74;-1.93;29.33
2020-12-10;C.A;30.08;51.35;14.6;80.89;15.48;-29.54
2020-12-31;A.D;23.28;64.27;24.31;40.72;-1.03;23.55
2021-01-11;A.B;18.39;38.83;23.7;60.01;-5.31;-21.18
2021-01-19;A.C;31.59;22.59;22.24;7.51;9.35;15.08
2021-02-13;B.C;23.82;66.11;20.39;49.35;3.43;16.76
2021-04-04;C.D;23.39;49.09;22.31;35.21;1.08;13.88
2021-05-22;C.C;16.84;83.86;19.18;60.64;-2.34;23.22
2021-09-08;D.C;24.69;49.94;19.89;73.25;4.8;-23.31
2021-10-12;B.D;16.88;14.82;27.18;45.36;-10.3;-30.54
2021-11-21;B.B;14.98;57.67;26.68;55.95;-11.7;1.72
