day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-05;B.D;30.6;23.82;24.11;48.52;6.49;-24.7
2020-05-27;D.D;22.2;52.93;22.48;12.09;-0.28;40.84
2020-06-05;C.D;32.65;91.11;26.03;56.97;6.62;34.14
2020-06-06;E.C;31.65;94.0;29.72;72.84;1.93;21.16
2020-06-10;B.E;26.31;46.89;26.98;53.37;-0.67;-6.48
2020-06-25;B.C;22.81;31.29;34.29;43.73;-11.48;-12.44
2020-07-11;A.A;24.06;59.01;32.13;21.73;-8.07;37.28
2020-07-17;C.A;20.47;50.12;23.77;34.55;-3.3;15.57
2020-07-18;D.B;24.89;42.14;22.81;59.61;2.08;-17.47
2020-07-22;E.E;19.25;0.07;13.55;65.83;5.7;-65.76
2020-08-07;E.B;20.69;52.59;28.26;74.31;-7.57;-21.72
2020-08-15;E.D;22.54;24.22;25.23;57.46;-2.69;-33.24
2020-08-28;E.D;24.06;95.77;16.47;6.83;7.59;88.94
2020-11-02;D.C;31.43;87.94;32.9;39.07;-1.47;48.87
2020-11-04;D.D;17.2;47.83;15.75;60.26;1.45;-12.43
2020-11-20;C.A;37.31;68.51;22.64;25.79;14.67;42.72
2020-12-08;A.A;25.14;37.51;27.07;35.62;-1.93;1.89
2021-01-08;B.C;21.19;48.84;27.37;19.03;-6.18;29.81
2021-01-16;E.A;10.03;36.56;25.62;56.13;-15.59;-19.57
2021-01-25;E.D;24.15;42.35;22.94;57.63;1.21;-15.28
2021-02-09;B.C;21.63;57.54;35.6;50.32;-13.97;7.22
2021-03-12;D.E;26.98;6.17;32.47;10.64;-5.49;-4.47
2021-04-09;D.C;22.03;42.22;27.42;87.63;-5.39;-45.41
2021-05-06;E.E;29.52;73.42;19.76;26.95;9.76;46.47
2021-05-14;A.D;28.11;43.98;22.27;71.78;5.84;-27.8
2021-06-29;A.A;20.93;21.99;23.74;66.04;-2.81;-44.05
2021-06-29;D.E;29.08;33.16;30.66;44.34;-1.58;-11.18
2021-08-22;D.D;27.56;40.11;24.86;77.09;2.7;-36.98
2021-08-26;D.C;27.19;40.99;26.57;54.5;0.62;-13.51
2021-09-03;C.E;26.36;68.77;34.16;34.66;-7.8;34.11
2021-10-17;D.E;27.05;26.72;15.75;16.03;11.3;10.69
2021-10-18;D.B;17.54;52.66;24.79;93.8;-7.25;-41.14
2021-11-11;A.B;32.03;59.59;25.68;53.72;6.35;5.87
2021-12-09;D.C;20.84;75.3;35.2;8.56;-14.36;66.74
2021-12-19;E.E;22.56;47.76;21.28;33.6;1.28;14.16
2022-01-02;E.E;23.88;38.5;21.82;81.54;2.06;-43.04
2022-02-24;E.C;11.58;27.34;33.09;82.1;-21.51;-54.76
2022-03-30;B.E;35.48;67.88;33.04;65.7;2.44;2.18
2022-04-14;C.A;21.42;12.07;24.9;63.83;-3.48;-51.76
2022-05-11;B.E;27.95;10.53;20.13;61.08;7.82;-50.55
2022-05-18;C.D;28.85;15.6;15.57;92.08;13.28;-76.48
2022-06-02;B.C;21.49;16.38;16.44;45.08;5.05;-28.7
2022-06-03;A.E;19.07;13.57;33.11;5.88;-14.04;7.69
2022-07-27;D.C;24.98;75.8;16.29;63.53;8.69;12.27
2022-08-12;A.A;31.61;54.91;33.62;17.05;-2.01;37.86
2022-08-12;D.B;26.24;44.96;10.43;41.58;15.81;3.38
2022-08-13;B.E;31.39;63.85;30.48;1.05;0.91;62.8
2022-08-18;E.E;23.08;55.89;26.5;41.32;-3.42;14.57
2022-08-22;D.A;20.58;88.07;31.0;81.31;-10.42;6.76
2020-09-14;B.B;35.46;24.92;26.12;5.87;9.34;19.05
2020-10-25;A.E;20.21;57.71;19.87;34.67;0.34;23.04
2020-10-27;C.C;27.18;47.37;19.49;41.69;7.69;5.68
2020-11-21;A.B;30.34;33.51;16.06;19.61;14.28;13.9
2021-02-12;B.C;20.87;17.77;27.16;32.96;-6.29;-15.19
2021-03-27;A.C;34.87;46.08;23.24;41.98;11.63;4.1
2021-04-28;C.A;23.13;65.86;23.24;63.46;-0.11;2.4
2021-05-23;C.C;30.91;48.56;22.2;62.87;8.71;-14.31
2021-07-12;C.A;10.11;62.74;31.59;94.4;-21.48;-31.66
2021-07-25;A.D;21.49;16.53;20.26;54.67;1.23;-38.14
2021-08-10;A.C;30.93;30.09;28.47;38.1;2.46;-8.01
2021-12-01;A.C;32.34;38.17;20.45;56.56;11.89;-18.39
2022-04-19;A.D;25.21;71.59;30.03;44.96;-4.82;26.63
2022-05-01;A.E;18.06;59.68;29.71;45.65;-11.65;14.03
2022-06-16;B.A;19.53;56.81;25.91;37.66;-6.38;19.15
2022-07-16;A.C;33.81;58.58;19.5;37.32;14.31;21.26
2022-07-19;A.E;24.89;29.94;21.07;20.07;3.82;9.87
2022-07-30;C.D;35.5;16.96;30.11;61.38;5.39;-44.42
