day;fullBuildingLocation;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-01;B.D;32.25;5.02;25.7;72.26;6.55;-67.24
2020-04-02;C.A;22.06;85.31;26.2;18.84;-4.14;66.47
2020-04-26;D.E;20.47;44.41;27.92;66.05;-7.45;-21.64
2020-05-05;A.D;26.85;31.17;32.88;52.79;-6.03;-21.62
2020-06-07;C.C;15.13;52.66;30.0;59.15;-14.87;-6.49
2020-06-20;C.B;15.14;89.88;27.02;56.28;-11.88;33.6
2020-06-22;D.C;22.04;53.92;30.26;44.1;-8.22;9.82
2020-07-10;B.B;24.95;52.51;20.13;67.89;4.82;-15.38
2020-07-28;B.C;21.69;36.43;30.7;92.12;-9.01;-55.69
2020-08-11;B.A;17.98;33.65;26.59;13.05;-8.61;20.6
2020-08-15;B.E;26.01;9.18;26.07;45.45;-0.06;-36.27
2020-08-19;E.E;23.12;56.28;19.6;45.12;3.52;11.16
2020-09-05;E.B;27.77;37.72;19.12;39.92;8.65;-2.2
2020-09-09;A.B;15.54;55.33;31.99;62.92;-16.45;-7.59
2020-09-26;B.B;20.86;57.07;33.19;48.3;-12.33;8.77
2020-09-30;D.E;29.35;38.52;30.06;63.13;-0.71;-24.61
2020-10-15;E.C;21.23;67.8;20.34;6.71;0.89;61.09
2020-10-23;A.C;31.79;73.68;21.51;45.73;10.28;27.95
2020-10-26;D.A;29.68;79.85;24.7;65.57;4.98;14.28
2020-11-15;A.E;15.36;68.26;22.84;92.32;-7.48;-24.06
2020-11-24;C.D;33.75;42.71;17.88;28.75;15.87;13.96
2020-11-27;C.D;19.16;19.58;24.58;43.52;-5.42;-23.94
2020-12-09;B.D;32.81;37.55;25.67;43.26;7.14;-5.71
2020-12-11;E.E;17.64;75.24;22.82;91.49;-5.18;-16.25
2021-01-06;B.B;11.82;69.33;12.52;80.88;-0.7;-11.55
2021-01-07;D.C;12.0;15.32;22.69;56.1;-10.69;-40.78
2021-02-11;C.D;31.09;51.52;20.58;45.03;10.51;6.49
2021-03-11;D.C;22.45;47.13;27.25;69.75;-4.8;-22.62
2021-03-25;E.C;26.95;45.61;29.96;53.05;-3.01;-7.44
