day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-19;D;22.56;54.88;23.84;54.77;-1.28;0.11
2020-08-09;D;25.39;46.06;21.54;49.8;3.85;-3.74
2020-08-13;B;24.91;45.6;23.38;46.61;1.53;-1.01
2020-09-19;B;19.66;54.16;25.07;52.16;-5.41;2.0
2020-11-25;C;25.02;54.29;21.27;51.26;3.75;3.03
2020-12-09;B;24.08;44.11;25.44;50.73;-1.36;-6.62
2021-01-04;A;27.14;39.02;25.48;57.41;1.66;-18.39
2021-02-09;B;20.83;48.77;26.48;46.47;-5.65;2.3
2021-02-09;C;25.25;58.15;20.96;54.79;4.29;3.36
2021-04-25;D;22.2;60.58;16.5;64.86;5.7;-4.28
2021-05-09;A;19.57;46.34;25.71;57.43;-6.14;-11.09
2021-05-30;B;20.91;43.09;23.12;49.98;-2.21;-6.89
2021-06-20;D;20.99;43.65;25.51;49.2;-4.52;-5.55
2021-10-01;E;21.61;55.45;22.16;44.57;-0.55;10.88
2021-10-25;A;24.4;61.49;28.05;41.02;-3.65;20.47
2021-10-29;C;24.88;64.82;26.25;47.4;-1.37;17.42
2021-11-01;D;19.91;52.87;30.14;51.13;-10.23;1.74
2021-12-17;D;23.71;68.18;29.44;37.21;-5.73;30.97
2022-03-15;C;19.24;54.75;21.72;61.35;-2.48;-6.6
2022-03-31;E;23.29;48.3;26.92;49.44;-3.63;-1.14
2022-05-05;E;23.71;36.54;21.56;50.19;2.15;-13.65
2022-05-23;C;21.86;46.59;20.33;34.97;1.53;11.62
