day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-19;A;22.1;52.57;20.63;38.6;1.47;13.97
2020-07-12;A;26.08;46.76;24.85;60.25;1.23;-13.49
2020-08-13;D;22.68;62.37;25.49;27.98;-2.81;34.39
2020-08-17;D;25.16;59.26;23.91;59.94;1.25;-0.68
2020-10-26;A;24.2;47.77;21.49;57.71;2.71;-9.94
2020-12-02;E;24.93;49.77;23.13;40.2;1.8;9.57
2020-12-13;A;20.44;50.34;23.98;59.86;-3.54;-9.52
2021-01-05;E;24.41;56.35;20.58;52.27;3.83;4.08
2021-01-14;C;19.52;35.13;23.42;42.58;-3.9;-7.45
2021-01-27;B;22.32;41.82;24.77;53.98;-2.45;-12.16
2021-02-07;C;19.07;61.11;25.89;43.44;-6.82;17.67
2021-02-16;B;25.0;63.82;22.55;28.38;2.45;35.44
2021-02-21;D;19.99;58.15;24.41;56.05;-4.42;2.1
2021-04-13;B;26.93;44.8;21.51;51.63;5.42;-6.83
2021-06-03;D;25.43;58.65;22.12;36.61;3.31;22.04
2021-06-09;D;23.28;41.06;26.04;41.66;-2.76;-0.6
2021-07-13;C;22.0;52.4;25.95;61.15;-3.95;-8.75
2021-07-30;A;22.62;51.22;24.37;56.09;-1.75;-4.87
2021-10-13;E;23.14;49.87;26.21;64.63;-3.07;-14.76
2021-10-30;D;26.41;42.55;18.42;47.42;7.99;-4.87
2021-11-02;D;26.4;49.63;20.35;38.93;6.05;10.7
2021-12-08;C;27.22;42.11;25.97;42.0;1.25;0.11
2022-02-12;E;26.97;38.13;24.51;54.69;2.46;-16.56
2022-04-08;D;23.72;50.22;25.34;47.22;-1.62;3.0
