day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-30;B;24.39;35.86;23.32;63.98;1.07;-28.12
2020-06-21;C;24.52;48.59;24.61;42.19;-0.09;6.4
2021-03-05;E;27.43;44.59;25.13;35.33;2.3;9.26
2021-03-28;D;21.97;48.85;21.73;51.85;0.24;-3.0
2021-04-14;E;20.0;46.38;22.31;46.92;-2.31;-0.54
2021-05-28;C;20.82;60.34;23.63;36.07;-2.81;24.27
2021-07-05;B;21.72;59.95;22.52;38.41;-0.8;21.54
2021-07-08;A;23.05;41.23;20.33;47.32;2.72;-6.09
2021-07-25;B;22.39;65.43;30.03;42.19;-7.64;23.24
2021-12-06;C;30.56;33.29;24.1;42.8;6.46;-9.51
2022-02-23;C;19.22;47.19;26.16;52.33;-6.94;-5.14
2022-04-06;B;23.13;54.88;25.28;48.41;-2.15;6.47
2022-07-01;C;23.3;41.91;24.13;45.13;-0.83;-3.22
2022-07-19;A;23.99;61.38;26.42;40.58;-2.43;20.8
2022-07-19;C;26.96;47.67;25.1;51.33;1.86;-3.66
