day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-18;B;19.11;61.49;20.46;49.36;-1.35;12.13
2020-09-14;E;25.03;42.56;21.52;50.21;3.51;-7.65
2020-09-26;C;27.03;55.9;21.2;48.82;5.83;7.08
2020-10-23;D;24.24;54.4;25.54;53.16;-1.3;1.24
2020-11-04;C;23.07;38.72;23.25;45.79;-0.18;-7.07
2020-12-10;D;25.74;53.88;20.6;42.55;5.14;11.33
2020-12-16;C;24.57;53.73;24.63;38.2;-0.06;15.53
2021-02-08;C;24.51;46.49;29.16;34.45;-4.65;12.04
2021-02-19;E;26.99;54.5;24.07;51.35;2.92;3.15
2021-05-20;C;24.44;66.26;23.05;63.81;1.39;2.45
2021-06-22;D;21.57;42.29;21.57;56.93;0.0;-14.64
2021-08-05;B;21.09;49.15;21.15;74.54;-0.06;-25.39
2021-10-12;B;21.18;54.47;24.71;43.13;-3.53;11.34
2021-11-19;C;23.57;52.87;21.66;42.21;1.91;10.66
2021-12-06;B;23.57;53.25;19.46;43.57;4.11;9.68
2022-01-08;E;20.93;60.61;25.84;36.89;-4.91;23.72
2022-02-24;C;24.88;61.6;23.79;59.6;1.09;2.0
2022-05-05;A;25.21;37.4;18.67;45.42;6.54;-8.02
2022-05-27;B;24.63;56.22;25.16;47.18;-0.53;9.04
2022-08-12;E;22.82;46.29;24.24;47.05;-1.42;-0.76
