day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-22;C;28.26;52.86;25.95;56.28;2.31;-3.42
2020-05-01;E;22.28;56.73;23.48;60.51;-1.2;-3.78
2020-08-23;D;24.63;50.45;24.28;63.77;0.35;-13.32
2020-11-06;E;21.99;24.07;21.62;52.31;0.37;-28.24
2020-11-11;D;25.18;44.93;24.67;63.06;0.51;-18.13
2020-11-18;B;23.22;50.4;23.61;30.48;-0.39;19.92
2020-11-21;E;21.84;53.31;32.1;40.07;-10.26;13.24
2020-12-12;E;24.99;63.81;20.84;69.3;4.15;-5.49
2021-01-03;D;21.4;41.03;24.17;32.75;-2.77;8.28
2021-01-09;D;21.87;33.41;20.3;52.03;1.57;-18.62
2021-02-08;D;22.7;42.11;24.77;37.41;-2.07;4.7
2021-04-04;C;21.15;48.9;24.93;43.11;-3.78;5.79
2021-06-13;A;21.98;33.93;22.85;33.49;-0.87;0.44
2021-06-14;D;24.84;50.51;21.23;46.43;3.61;4.08
2021-07-02;D;21.41;46.38;20.73;46.33;0.68;0.05
2021-07-06;E;23.27;37.38;22.88;53.49;0.39;-16.11
2021-07-22;D;22.54;59.15;24.65;61.89;-2.11;-2.74
2021-08-01;D;21.69;53.91;23.56;50.17;-1.87;3.74
2021-08-14;D;22.19;54.2;25.61;66.26;-3.42;-12.06
2021-09-22;A;23.68;45.27;26.49;71.72;-2.81;-26.45
2021-10-02;D;25.89;43.81;26.58;36.28;-0.69;7.53
2022-03-18;A;29.16;41.94;24.39;36.92;4.77;5.02
2022-07-11;C;24.99;46.07;26.17;60.63;-1.18;-14.56
2022-07-18;C;27.13;47.29;24.89;64.73;2.24;-17.44
2022-08-27;A;25.33;39.07;20.75;63.32;4.58;-24.25
