day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-15;B;26.07;46.93;25.43;54.57;0.64;-7.64
2020-06-20;E;24.42;29.69;23.88;55.98;0.54;-26.29
2020-07-16;C;21.31;58.98;25.12;54.5;-3.81;4.48
2020-08-24;C;22.18;48.75;23.32;36.03;-1.14;12.72
2020-09-15;D;22.08;62.56;23.8;50.69;-1.72;11.87
2020-09-30;B;26.08;46.8;25.89;46.54;0.19;0.26
2020-11-27;C;20.37;45.2;23.89;53.36;-3.52;-8.16
2021-01-17;D;26.35;37.99;20.05;41.09;6.3;-3.1
2021-01-25;D;24.1;45.72;21.74;39.94;2.36;5.78
2021-02-02;D;26.69;44.47;21.66;62.38;5.03;-17.91
2021-04-12;E;28.04;42.14;24.48;56.57;3.56;-14.43
2021-04-23;B;23.8;55.4;18.34;55.04;5.46;0.36
2021-05-24;D;22.3;50.57;20.83;42.85;1.47;7.72
2021-06-20;B;22.96;47.0;27.64;57.88;-4.68;-10.88
2021-07-28;D;23.91;48.56;20.93;46.07;2.98;2.49
2021-07-28;B;22.09;60.76;24.36;47.27;-2.27;13.49
2021-09-06;A;23.75;45.97;23.95;43.31;-0.2;2.66
2021-09-19;A;24.77;26.75;18.98;41.72;5.79;-14.97
2021-10-08;B;18.91;44.87;20.04;50.64;-1.13;-5.77
2021-10-14;D;21.98;46.88;25.45;37.11;-3.47;9.77
2022-02-09;A;25.3;48.64;21.99;59.24;3.31;-10.6
2022-02-16;C;23.4;43.56;21.91;52.48;1.49;-8.92
2022-03-03;E;22.85;51.35;22.9;39.6;-0.05;11.75
2022-05-20;A;18.54;48.96;32.61;55.79;-14.07;-6.83
2022-08-13;B;28.95;58.17;24.61;56.63;4.34;1.54
