day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-14;D;26.59;35.4;23.74;38.3;2.85;-2.9
2020-05-24;E;23.37;30.53;26.02;60.64;-2.65;-30.11
2020-05-28;E;24.66;66.08;22.73;51.61;1.93;14.47
2020-07-26;D;21.21;49.73;17.76;60.3;3.45;-10.57
2020-07-30;A;24.96;57.13;21.71;41.45;3.25;15.68
2020-09-10;D;26.17;46.08;23.62;48.92;2.55;-2.84
2020-09-14;B;21.8;41.08;23.65;27.07;-1.85;14.01
2020-11-08;C;23.02;50.07;28.42;44.55;-5.4;5.52
2020-11-10;B;22.48;55.55;21.97;64.58;0.51;-9.03
2020-12-26;C;23.86;39.97;19.15;60.74;4.71;-20.77
2021-02-04;B;22.6;52.05;25.09;47.08;-2.49;4.97
2021-03-03;E;19.65;45.27;20.97;54.21;-1.32;-8.94
2021-04-21;B;23.57;49.05;21.53;40.76;2.04;8.29
2021-05-09;B;21.94;43.7;24.85;56.3;-2.91;-12.6
2021-06-29;E;22.83;46.74;21.22;50.02;1.61;-3.28
2021-07-29;C;25.44;54.58;25.87;43.48;-0.43;11.1
2021-09-18;C;25.71;58.61;23.57;40.94;2.14;17.67
2021-10-14;C;23.75;49.04;21.65;45.38;2.1;3.66
2021-12-16;D;23.4;38.71;20.9;47.33;2.5;-8.62
2022-02-06;E;25.74;73.86;22.42;57.39;3.32;16.47
2022-04-17;E;25.48;59.4;28.95;29.05;-3.47;30.35
2022-05-20;B;23.11;61.78;26.68;35.97;-3.57;25.81
2022-06-14;C;24.3;39.58;26.66;59.96;-2.36;-20.38
2022-07-22;D;25.02;45.46;25.84;37.79;-0.82;7.67
2022-07-29;C;22.34;45.86;26.26;55.91;-3.92;-10.05
2022-07-31;A;21.87;40.68;19.42;52.7;2.45;-12.02
2022-08-06;C;16.85;69.2;26.07;64.54;-9.22;4.66
2022-08-31;C;24.18;53.33;24.09;40.9;0.09;12.43
