day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-07-21;D;21.15;48.02;26.64;56.35;-5.49;-8.33
2020-10-18;B;24.28;51.06;20.02;65.85;4.26;-14.79
2020-12-10;E;21.44;32.93;28.36;55.51;-6.92;-22.58
2020-12-14;E;25.75;51.69;21.81;69.74;3.94;-18.05
2021-03-01;E;25.41;53.03;27.38;42.21;-1.97;10.82
2021-03-04;E;25.03;34.16;18.29;46.63;6.74;-12.47
2021-03-09;D;20.36;45.33;28.7;44.69;-8.34;0.64
2021-03-19;B;23.08;64.12;29.73;40.7;-6.65;23.42
2021-03-26;E;24.55;54.28;27.95;51.35;-3.4;2.93
2021-04-18;A;22.69;39.61;20.28;59.63;2.41;-20.02
2021-05-07;B;17.62;36.59;23.33;54.52;-5.71;-17.93
2021-05-28;B;19.53;51.81;22.21;33.75;-2.68;18.06
2021-06-17;A;21.28;58.03;22.48;60.55;-1.2;-2.52
2021-07-19;C;26.99;58.79;22.17;55.27;4.82;3.52
2021-07-24;B;24.64;68.29;22.32;41.96;2.32;26.33
2021-10-15;E;24.21;63.64;23.99;46.05;0.22;17.59
2021-10-30;E;26.34;49.88;27.1;48.03;-0.76;1.85
2021-11-09;C;28.45;34.3;21.08;28.71;7.37;5.59
2021-11-10;B;24.37;48.24;26.19;47.2;-1.82;1.04
2021-11-20;C;24.28;27.25;26.23;46.74;-1.95;-19.49
2021-12-01;D;22.95;47.51;21.84;52.21;1.11;-4.7
2021-12-03;D;23.47;45.05;22.78;62.13;0.69;-17.08
2021-12-29;A;24.46;41.76;21.96;33.69;2.5;8.07
2022-01-16;C;24.65;46.21;26.05;54.82;-1.4;-8.61
2022-03-10;C;23.22;51.25;26.33;43.46;-3.11;7.79
2022-03-21;E;22.54;25.89;23.5;43.67;-0.96;-17.78
2022-04-29;A;22.62;44.51;19.74;30.81;2.88;13.7
2022-08-16;B;19.2;59.15;23.79;38.38;-4.59;20.77
