day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-03;C;26.93;44.89;24.83;41.93;2.1;2.96
2020-04-22;E;23.77;43.88;25.35;43.98;-1.58;-0.1
2020-04-23;A;25.22;51.97;23.17;57.99;2.05;-6.02
2020-06-02;A;23.41;56.1;22.74;56.64;0.67;-0.54
2020-06-21;B;23.29;42.1;25.67;44.53;-2.38;-2.43
2020-06-26;D;24.54;57.32;21.11;51.0;3.43;6.32
2021-04-13;A;25.22;59.53;27.93;46.85;-2.71;12.68
2021-06-09;E;24.86;59.61;20.46;58.23;4.4;1.38
2021-08-09;D;23.58;52.28;19.41;36.39;4.17;15.89
2021-08-13;D;26.09;48.19;23.02;66.7;3.07;-18.51
2021-08-15;C;19.08;51.21;18.46;47.61;0.62;3.6
2021-11-22;D;23.57;64.31;28.96;35.95;-5.39;28.36
2022-01-02;E;24.37;38.58;22.92;49.1;1.45;-10.52
2022-04-27;E;25.91;41.2;25.54;47.19;0.37;-5.99
2022-06-15;C;20.9;36.05;22.68;59.64;-1.78;-23.59
2022-07-22;E;28.86;39.34;19.27;54.58;9.59;-15.24
2022-07-26;B;20.86;52.79;23.83;49.46;-2.97;3.33
2022-07-28;B;22.53;49.9;20.77;61.43;1.76;-11.53
2022-08-05;C;24.82;55.98;20.57;52.5;4.25;3.48
