day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-10;C;23.88;72.63;23.57;52.54;0.31;20.09
2020-05-10;E;21.27;51.18;24.22;65.91;-2.95;-14.73
2020-05-21;E;22.08;43.18;28.84;45.09;-6.76;-1.91
2020-09-17;E;24.0;62.58;29.07;65.78;-5.07;-3.2
2021-01-02;A;20.92;64.82;25.0;56.68;-4.08;8.14
2021-04-28;A;25.24;57.49;25.38;53.9;-0.14;3.59
2021-05-06;A;20.71;47.56;23.24;61.36;-2.53;-13.8
2021-07-02;E;26.12;59.36;25.73;47.6;0.39;11.76
2021-07-14;D;19.88;61.69;25.3;44.28;-5.42;17.41
2021-07-16;C;24.89;44.91;24.77;64.35;0.12;-19.44
2021-08-09;C;26.07;52.25;25.66;50.75;0.41;1.5
2021-09-20;E;22.19;61.3;21.61;58.97;0.58;2.33
2021-09-26;D;22.89;42.16;25.6;47.33;-2.71;-5.17
2021-12-07;A;23.75;50.78;22.94;52.33;0.81;-1.55
2022-01-09;D;23.05;52.93;27.03;57.25;-3.98;-4.32
2022-02-26;C;21.41;61.96;25.27;59.44;-3.86;2.52
2022-02-28;D;23.23;46.15;22.7;43.32;0.53;2.83
2022-04-15;C;19.66;64.67;24.51;35.34;-4.85;29.33
2022-04-25;A;24.7;47.95;22.58;48.73;2.12;-0.78
