day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-07;D;23.02;64.79;24.88;41.14;-1.86;23.65
2020-04-08;A;25.53;45.82;26.46;62.72;-0.93;-16.9
2020-07-04;E;26.33;66.86;23.54;55.34;2.79;11.52
2020-08-12;C;24.23;57.31;18.59;62.24;5.64;-4.93
2020-09-28;D;23.08;65.93;23.24;49.0;-0.16;16.93
2020-10-13;C;25.76;44.35;26.76;55.16;-1.0;-10.81
2020-10-22;A;22.7;50.44;24.31;49.75;-1.61;0.69
2020-11-28;D;22.17;40.39;22.25;45.57;-0.08;-5.18
2021-01-21;A;24.53;49.69;20.05;63.13;4.48;-13.44
2021-03-28;C;22.87;54.48;18.05;42.51;4.82;11.97
2021-07-05;E;24.99;56.99;25.41;47.38;-0.42;9.61
2021-07-27;C;28.42;59.41;23.59;50.75;4.83;8.66
2021-08-14;B;24.08;57.1;26.07;26.42;-1.99;30.68
2021-11-06;B;23.36;53.78;21.36;66.43;2.0;-12.65
2021-12-16;B;22.69;52.58;23.63;39.81;-0.94;12.77
2022-01-04;E;24.77;48.01;21.86;52.43;2.91;-4.42
2022-01-26;B;26.05;66.66;21.32;35.92;4.73;30.74
2022-04-27;B;24.85;43.09;23.86;50.54;0.99;-7.45
2022-06-03;D;22.72;45.59;25.44;48.89;-2.72;-3.3
