day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-23;B;23.52;35.72;22.32;48.33;1.2;-12.61
2020-05-26;A;21.59;57.25;22.66;47.27;-1.07;9.98
2020-06-02;C;22.72;52.36;24.08;30.5;-1.36;21.86
2020-06-10;B;26.1;50.21;25.24;37.03;0.86;13.18
2020-08-06;B;18.73;45.72;24.67;51.36;-5.94;-5.64
2020-10-01;B;23.01;57.48;23.29;57.6;-0.28;-0.12
2020-10-27;C;21.8;43.24;21.37;44.97;0.43;-1.73
2020-11-04;D;19.09;41.92;18.05;53.98;1.04;-12.06
2021-01-24;C;27.12;46.56;23.45;52.42;3.67;-5.86
2021-01-28;A;22.39;47.44;24.82;45.21;-2.43;2.23
2021-04-10;A;21.98;47.02;26.71;50.41;-4.73;-3.39
2021-05-29;B;19.8;58.44;24.37;32.64;-4.57;25.8
2021-06-06;A;25.12;43.47;21.66;37.67;3.46;5.8
2021-06-09;C;20.65;66.38;23.55;54.54;-2.9;11.84
2021-06-16;D;23.5;42.92;22.45;41.88;1.05;1.04
2021-06-30;E;22.06;44.4;24.78;43.52;-2.72;0.88
2021-08-04;D;24.22;30.31;20.5;49.0;3.72;-18.69
2021-09-24;D;23.55;46.18;23.2;73.1;0.35;-26.92
2022-02-08;B;22.71;51.18;26.76;51.61;-4.05;-0.43
2022-02-14;C;25.6;48.77;21.4;45.64;4.2;3.13
2022-02-16;D;22.64;65.59;21.56;48.52;1.08;17.07
2022-02-24;E;22.8;56.92;29.17;38.13;-6.37;18.79
2022-04-04;A;22.4;45.19;21.58;69.89;0.82;-24.7
2022-07-24;D;22.37;50.34;22.74;61.45;-0.37;-11.11
