day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-08;B;21.38;37.9;22.1;57.48;-0.72;-19.58
2020-05-16;C;21.63;53.56;25.02;42.29;-3.39;11.27
2020-05-29;E;24.6;55.35;23.64;62.4;0.96;-7.05
2020-08-22;E;25.94;53.13;25.58;66.43;0.36;-13.3
2020-09-16;C;22.15;73.63;21.84;54.64;0.31;18.99
2020-12-02;A;25.81;46.09;27.13;36.55;-1.32;9.54
2021-01-20;D;24.09;42.45;20.26;63.05;3.83;-20.6
2021-02-22;E;22.11;48.56;21.72;56.51;0.39;-7.95
2021-02-24;D;25.14;49.7;19.14;38.64;6.0;11.06
2021-02-28;B;23.41;48.79;23.17;50.38;0.24;-1.59
2021-03-09;E;21.28;58.12;21.31;31.83;-0.03;26.29
2021-03-17;A;24.61;54.13;23.64;32.36;0.97;21.77
2021-07-13;E;22.73;46.19;22.59;55.81;0.14;-9.62
2021-07-30;D;25.21;46.65;26.89;53.97;-1.68;-7.32
2021-11-27;C;23.37;39.43;20.38;45.24;2.99;-5.81
2021-12-10;A;26.11;53.39;21.16;37.66;4.95;15.73
2021-12-22;E;23.04;53.33;22.44;59.64;0.6;-6.31
2021-12-27;D;25.03;46.34;20.94;68.95;4.09;-22.61
2022-02-03;D;21.67;42.86;24.68;44.85;-3.01;-1.99
2022-02-05;A;23.29;50.85;24.86;55.46;-1.57;-4.61
2022-03-03;B;26.74;36.56;24.43;48.75;2.31;-12.19
2022-05-06;C;22.19;33.37;20.34;39.15;1.85;-5.78
2022-07-25;E;24.9;46.52;23.37;55.48;1.53;-8.96
2022-08-11;C;25.04;62.94;21.3;46.45;3.74;16.49
