day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-25;C;20.59;53.31;27.75;46.54;-7.16;6.77
2020-05-02;B;26.45;57.54;21.5;64.08;4.95;-6.54
2020-06-05;A;24.95;60.9;21.69;39.83;3.26;21.07
2020-07-03;B;23.42;31.43;24.38;54.78;-0.96;-23.35
2020-10-19;E;22.23;40.86;26.73;45.7;-4.5;-4.84
2020-10-27;E;26.12;59.0;25.69;48.49;0.43;10.51
2021-02-11;E;25.64;37.5;26.15;51.3;-0.51;-13.8
2021-10-02;E;22.52;46.7;23.27;41.15;-0.75;5.55
2021-11-27;B;22.64;40.36;22.53;33.27;0.11;7.09
2021-12-02;A;21.54;34.39;26.51;47.94;-4.97;-13.55
2021-12-23;E;21.87;45.9;16.93;52.15;4.94;-6.25
2022-01-02;D;27.97;56.57;22.53;48.84;5.44;7.73
2022-01-31;E;28.01;48.43;25.82;53.99;2.19;-5.56
2022-04-12;E;24.57;50.95;21.29;61.06;3.28;-10.11
2022-05-11;D;26.23;55.1;22.86;46.4;3.37;8.7
2022-06-01;E;21.31;49.63;25.05;46.63;-3.74;3.0
