day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-05-17;A;22.62;48.68;20.46;32.58;2.16;16.1
2020-06-25;D;23.42;56.72;27.99;52.86;-4.57;3.86
2020-06-25;A;21.68;57.56;22.29;46.95;-0.61;10.61
2020-08-28;B;19.98;28.79;19.23;44.04;0.75;-15.25
2020-10-05;A;25.26;51.24;22.23;45.06;3.03;6.18
2020-11-07;C;22.92;40.03;22.96;52.85;-0.04;-12.82
2020-12-03;A;25.23;58.67;25.71;44.87;-0.48;13.8
2020-12-05;C;26.34;52.28;21.61;52.37;4.73;-0.09
2021-03-06;C;22.39;47.01;26.62;43.29;-4.23;3.72
2021-03-11;D;25.57;37.25;22.56;52.99;3.01;-15.74
2021-03-20;B;24.59;57.11;25.62;68.55;-1.03;-11.44
2021-05-31;A;24.5;47.55;25.26;51.86;-0.76;-4.31
2021-06-26;D;21.65;54.45;21.83;49.37;-0.18;5.08
2021-12-18;E;26.47;43.55;24.5;57.45;1.97;-13.9
2022-01-11;B;18.99;42.97;25.26;54.09;-6.27;-11.12
2022-02-04;C;25.39;44.22;17.55;63.76;7.84;-19.54
2022-02-16;A;21.86;46.81;23.39;44.91;-1.53;1.9
2022-03-06;D;21.78;42.55;23.17;47.9;-1.39;-5.35
2022-03-09;A;18.19;57.05;28.07;55.25;-9.88;1.8
2022-03-24;D;25.38;50.02;19.55;59.2;5.83;-9.18
2022-04-02;D;22.81;62.4;24.27;53.92;-1.46;8.48
2022-04-18;A;22.97;44.8;20.55;59.22;2.42;-14.42
