day;neighborhood;day_temp;day_hum;night_temp;night_hum;temp_diff;hum_diff
2020-04-12;A;28.7;55.92;19.14;43.8;9.56;12.12
2020-04-29;A;25.04;43.36;27.89;63.13;-2.85;-19.77
2020-06-15;A;26.99;71.81;25.47;64.28;1.52;7.53
2020-07-17;D;26.0;48.29;28.98;47.81;-2.98;0.48
2020-07-27;E;26.18;44.29;23.98;65.93;2.2;-21.64
2020-09-03;E;23.67;53.49;24.97;39.21;-1.3;14.28
2020-10-13;E;24.68;65.39;24.54;48.15;0.14;17.24
2020-10-17;D;31.59;55.56;24.13;51.59;7.46;3.97
2020-12-17;A;22.34;50.85;24.21;60.58;-1.87;-9.73
2020-12-30;C;22.37;39.44;24.1;52.11;-1.73;-12.67
2021-02-16;C;19.9;43.45;23.91;40.41;-4.01;3.04
2021-05-22;B;22.39;61.98;24.49;51.06;-2.1;10.92
2021-06-14;E;22.51;40.6;25.41;52.65;-2.9;-12.05
2021-06-26;B;26.93;35.24;31.42;39.38;-4.49;-4.14
2021-09-22;C;21.97;47.73;23.06;53.39;-1.09;-5.66
2021-10-15;A;23.08;43.24;26.05;36.04;-2.97;7.2
2021-11-03;E;22.35;54.57;29.42;65.68;-7.07;-11.11
2022-02-12;C;19.67;41.1;21.54;62.98;-1.87;-21.88
2022-03-19;E;21.98;40.55;24.11;63.73;-2.13;-23.18
2022-04-10;B;23.59;33.17;27.03;53.64;-3.44;-20.47
2022-06-13;C;25.92;44.0;19.88;64.49;6.04;-20.49
2022-08-11;D;20.12;42.9;23.65;50.61;-3.53;-7.71
2022-08-11;A;19.68;52.9;25.72;62.53;-6.04;-9.63
